"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	
908	804	493	109	241	112	2335	857	806	778	70	98	591	138	250	153	71	569	196	739	317	100	254	538	56	82	100	72	183	
740	700	400	104	250	100	1900	750	700	700	74	85	500	140	250	140	70	500	190	650	250	95	200	450	65	92	100	70	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
548	490	275	83	152	75	1273	474	465	434	35	74	425	98	163	107	50	332	135	462	202	83	167	307	33	62	60	48	126	
76	54	27	1	18	13	122	31	33	52	6	3	66	9	9	9	7	50	7	34	19	0	33	45	1	6	6	4	8	
116	156	98	20	80	12	505	245	202	214	33	8	9	33	78	24	13	118	48	154	29	12	0	98	31	24	34	18	16	
76	54	27	1	18	13	122	31	33	52	6	3	66	9	9	9	7	50	7	34	19	0	33	45	1	6	6	4	8	
548	490	275	83	152	75	1273	474	465	434	35	74	425	98	163	107	50	332	135	462	202	83	167	307	33	62	60	48	126	
8	4	5	1	1	0	16	4	5	1	1	1	6	2	4	0	0	2	1	3	2	0	1	2	0	2	0	1	0	
616	540	297	83	169	88	1379	501	493	485	40	76	485	105	168	116	57	380	141	493	219	83	199	350	34	66	66	51	134	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	1	1	1	0	10	2	2	6	1	1	1	1	2	1	0	5	0	3	4	0	0	4	0	1	0	0	0	
109	74	42	11	14	9	329	140	104	88	1	1	85	7	22	8	7	73	30	103	36	3	20	49	3	6	10	2	20	
54	40	18	7	15	5	88	39	49	59	3	18	31	9	23	22	6	36	4	31	20	7	17	20	5	9	3	7	19	
443	416	227	62	139	71	915	313	331	317	30	54	354	87	118	83	44	258	105	352	155	71	155	273	26	49	51	41	91	
2	0	0	0	0	0	11	4	1	1	4	0	8	0	3	2	0	6	1	2	1	1	2	0	0	0	0	0	0	
4	2	2	1	0	0	9	2	3	8	0	2	2	0	0	0	0	1	0	1	2	0	3	3	0	0	2	0	3	
1	2	5	0	0	1	8	1	1	3	0	0	4	0	0	0	0	0	1	1	0	1	2	1	0	1	0	0	1	
1	0	2	1	0	2	9	0	2	3	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	
