"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	
60	106	979	276	141	696	660	159	408	431	685	99	2030	1091	493	
60	110	1000	300	150	750	700	160	450	420	700	100	2100	1100	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34	62	572	151	88	435	385	111	241	311	382	67	1224	618	333	
8	6	79	22	1	56	60	12	41	31	38	0	91	87	78	
18	42	349	127	61	259	255	37	168	78	280	33	785	395	139	
8	6	79	22	1	56	60	12	41	31	38	0	91	87	78	
34	62	572	151	88	435	385	111	241	311	382	67	1224	618	333	
0	0	8	1	0	7	9	1	3	1	3	0	29	3	7	
42	68	643	172	89	484	436	122	279	341	417	67	1286	702	404	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	3	2	0	0	3	0	2	1	1	1	6	12	0	
3	1	83	33	10	159	115	21	46	109	136	5	291	174	163	
2	1	43	17	5	40	22	1	33	26	28	9	96	36	47	
35	65	495	117	72	271	288	97	192	199	244	49	865	452	185	
0	0	10	0	0	4	4	1	1	4	3	0	9	4	4	
1	0	4	3	1	4	1	2	3	1	2	3	8	8	4	
0	0	2	0	0	6	1	0	2	1	3	0	9	13	0	
0	1	3	0	1	0	2	0	0	0	0	0	2	3	1	
