"УИК №1270"	"УИК №1271"	"УИК №1272"	"УИК №1273"	"УИК №1274"	"УИК №1275"	"УИК №1276"	"УИК №1277"	"УИК №1278"	"УИК №1279"	"УИК №1280"	"УИК №1281"	"УИК №1282"	"УИК №1283"	"УИК №1284"	"УИК №1285"	"УИК №1286"	"УИК №1287"	"УИК №1288"	"УИК №1289"	"УИК №1290"	"УИК №1291"	"УИК №1292"	"УИК №1293"	"УИК №1294"	"УИК №1295"	"УИК №1296"	"УИК №1297"	"УИК №1298"	"УИК №1299"	"УИК №1300"	"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	
572	94	55	1060	216	173	2055	1628	148	197	146	706	101	309	49	2291	2640	2438	660	2764	640	332	989	1153	121	1335	304	261	269	824	118	94	1546	2877	2206	345	503	2311	1085	1331	1337	364	517	404	147	
561	94	51	1091	229	174	2122	1680	146	200	136	727	89	304	50	2300	2660	2385	654	2778	615	332	996	1173	113	1337	298	271	268	838	109	90	1516	2885	2223	337	474	2291	1021	1307	1345	356	497	351	146	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
383	57	21	580	116	97	1193	832	97	107	98	393	59	197	33	1113	1420	1160	340	1606	350	169	602	706	65	831	168	160	124	445	72	66	924	1799	1289	247	366	1474	755	778	723	212	286	233	91	
38	8	4	35	8	5	136	94	7	21	0	63	13	23	0	69	84	162	28	71	14	12	63	29	3	33	6	8	16	51	8	14	94	97	41	19	4	81	30	26	52	62	28	42	7	
140	29	26	476	105	72	793	754	42	72	38	271	17	84	17	1118	1156	1063	286	1101	251	151	331	438	45	473	124	103	128	342	29	10	498	989	893	71	104	736	236	503	570	82	183	76	48	
38	8	4	35	8	5	136	94	7	21	0	63	13	23	0	69	84	162	28	71	14	12	63	29	3	33	6	8	16	51	8	14	94	97	41	19	4	81	30	26	52	62	28	42	7	
383	57	21	580	116	97	1193	832	97	107	98	393	59	197	33	1113	1419	1160	340	1606	350	169	602	706	65	831	168	160	124	445	72	66	924	1799	1289	247	366	1474	755	778	723	212	286	233	91	
11	0	0	11	2	1	27	11	3	2	1	7	0	6	1	14	22	23	2	27	2	1	8	25	0	16	2	3	0	4	0	0	13	27	8	2	1	26	12	4	14	5	11	5	0	
410	65	25	604	122	101	1302	915	101	126	97	449	72	214	32	1168	1481	1299	366	1650	362	180	657	710	68	848	172	165	140	492	80	80	1005	1869	1322	264	369	1529	773	800	761	269	303	270	98	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	7	1	0	11	4	0	0	1	0	0	2	0	2	6	6	5	9	1	2	4	2	0	4	0	1	1	0	1	0	7	5	2	3	1	8	6	2	5	7	1	2	1	
75	17	3	148	15	11	292	192	12	31	13	58	9	32	6	247	315	229	69	439	84	42	151	158	11	241	23	38	27	90	5	11	276	543	383	51	100	424	177	180	161	18	71	39	16	
36	5	6	33	14	6	110	76	11	10	8	45	10	26	4	130	110	101	44	109	32	14	37	54	7	59	13	11	22	34	6	2	87	131	102	14	24	72	36	35	49	27	15	23	8	
291	41	15	405	89	81	871	626	73	80	73	340	53	152	22	774	1020	934	241	1054	237	117	455	478	50	510	135	113	84	364	68	65	620	1148	804	190	219	975	514	575	526	210	205	203	72	
1	0	0	1	0	1	3	6	3	2	1	3	0	0	0	6	10	10	0	10	4	4	3	9	0	16	0	1	0	3	0	1	6	18	13	2	11	11	21	2	5	6	5	3	0	
5	1	0	5	2	2	9	10	0	2	1	1	0	1	0	3	7	9	3	8	2	1	6	3	0	7	1	0	5	0	0	1	5	7	7	2	7	17	6	3	7	1	2	0	1	
0	1	0	3	0	0	4	1	2	1	0	2	0	1	0	4	6	6	1	10	2	0	0	3	0	7	0	0	1	1	0	0	3	12	7	1	4	10	10	1	4	0	3	0	0	
0	0	1	2	1	0	2	0	0	0	0	0	0	0	0	2	7	4	3	11	0	0	1	3	0	4	0	1	0	0	0	0	1	5	4	1	3	12	3	2	4	0	1	0	0	
