"УИК №1657"	"УИК №1658"	"УИК №1659"	"УИК №1660"	"УИК №1661"	"УИК №1662"	"УИК №1663"	"УИК №1664"	"УИК №1665"	"УИК №1666"	"УИК №1667"	"УИК №1668"	"УИК №1669"	"УИК №1670"	"УИК №1671"	"УИК №1672"	"УИК №1673"	"УИК №1674"	"УИК №1675"	"УИК №1676"	"УИК №1677"	"УИК №1678"	"УИК №1679"	"УИК №1680"	"УИК №1681"	"УИК №1682"	"УИК №1683"	"УИК №1684"	"УИК №1685"	"УИК №1686"	"УИК №1687"	"УИК №1688"	"УИК №1689"	"УИК №1690"	"УИК №1691"	"УИК №1692"	"УИК №1693"	"УИК №1694"	
2231	1474	1913	2218	630	598	79	131	343	58	1149	215	116	50	309	75	486	136	233	305	96	398	238	390	123	512	62	489	530	153	586	130	124	954	353	55	890	248	
2000	1400	1800	2000	600	600	70	110	300	50	1000	200	100	50	300	70	500	120	200	300	90	400	200	350	100	500	50	450	500	130	550	110	100	900	350	50	800	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1219	889	1206	1351	314	278	53	96	217	35	644	125	76	17	178	56	364	84	117	224	80	278	154	226	81	349	49	303	361	91	353	90	85	541	212	30	448	147	
271	88	115	112	78	70	0	5	30	2	93	30	8	18	28	4	57	2	25	21	10	39	16	35	5	20	1	26	37	4	52	5	15	72	19	1	117	16	
510	423	479	537	208	252	17	9	53	13	263	45	16	15	94	10	79	34	58	55	0	83	30	89	14	131	0	121	102	35	145	15	0	287	119	19	235	37	
271	88	115	112	78	70	0	5	30	2	93	30	8	18	28	4	57	2	25	21	10	39	16	35	5	20	1	26	37	4	52	5	15	72	19	1	117	16	
1219	888	1206	1351	314	278	53	96	217	35	644	125	76	17	178	56	364	84	117	224	80	278	154	226	81	349	49	303	361	91	353	90	85	541	212	30	448	147	
15	9	26	13	4	0	0	4	2	1	6	1	0	0	2	0	6	0	3	0	1	1	1	0	0	2	1	2	11	1	2	0	0	9	10	0	13	2	
1475	967	1295	1450	388	348	53	97	245	36	731	154	84	35	204	60	415	86	139	245	89	316	169	261	86	367	49	327	387	94	403	95	100	604	221	31	552	161	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	9	8	16	5	1	0	0	5	0	3	0	0	0	2	0	3	0	2	3	1	1	0	3	0	1	0	1	3	0	5	0	0	1	1	0	4	0	
319	239	376	412	105	88	3	22	56	1	148	21	6	4	25	12	77	3	14	63	6	56	16	55	12	96	9	37	82	11	51	7	12	134	47	2	141	32	
107	72	104	112	32	29	6	5	21	7	59	16	9	2	39	9	36	9	7	11	6	28	15	20	9	35	5	27	47	5	45	7	5	49	13	5	61	26	
1020	628	780	886	239	224	43	70	157	28	510	113	67	29	136	36	293	74	115	165	74	227	138	177	63	233	35	257	250	77	297	80	80	397	155	24	331	97	
7	5	5	7	3	2	0	0	2	0	2	1	0	0	1	2	3	0	1	0	1	3	0	2	2	0	0	4	1	0	1	1	0	2	0	0	8	0	
5	5	11	9	3	3	1	0	3	0	4	1	1	0	1	0	3	0	0	1	1	1	0	4	0	1	0	1	2	1	1	0	3	10	1	0	6	3	
6	3	7	6	0	1	0	0	0	0	5	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	2	0	2	0	0	7	2	0	0	1	
2	6	4	2	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	2	0	1	2	
