"УИК №1818"	"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1837"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	
723	127	122	587	616	113	219	1088	2587	675	75	144	108	88	367	435	99	84	678	96	253	
700	120	110	600	600	120	220	1100	2500	700	75	140	110	85	400	450	100	80	700	90	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
429	97	86	372	359	80	141	664	1455	388	60	101	63	51	291	308	84	64	408	78	137	
90	7	6	40	51	9	21	59	146	46	3	8	10	0	10	41	4	3	31	3	33	
181	16	18	188	190	31	58	377	899	266	12	31	37	34	99	101	12	13	261	9	80	
90	7	6	40	51	9	21	59	146	46	3	8	10	0	10	41	4	3	31	3	33	
429	97	86	372	359	80	141	664	1454	388	60	101	63	51	291	308	84	64	408	78	137	
12	1	0	8	17	2	4	10	23	7	2	2	0	0	3	1	2	3	6	2	1	
507	103	92	404	393	87	158	713	1577	427	61	107	73	51	298	348	86	64	433	79	169	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	0	3	2	0	1	3	10	7	3	2	2	1	2	0	1	1	0	5	0	2	
81	6	14	140	94	20	41	233	557	45	9	16	18	12	66	102	11	8	132	19	32	
96	33	13	25	57	3	12	48	100	28	5	7	8	8	24	40	6	4	33	10	17	
315	61	59	224	237	57	95	412	884	343	43	80	46	28	206	202	65	49	251	50	118	
7	0	2	3	1	0	3	3	9	3	1	1	0	0	1	2	0	0	3	0	0	
0	1	0	3	4	2	3	6	10	2	0	0	0	1	1	0	3	0	6	0	0	
2	1	1	3	0	4	1	1	10	1	0	0	0	0	0	1	0	1	2	0	0	
1	1	0	4	0	0	0	0	0	2	1	1	0	0	0	0	0	2	1	0	0	
