"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	
1772	1158	1985	2239	1708	1737	1316	566	866	1275	1204	926	
1600	1321	1800	2000	1600	1600	1200	544	800	1200	1100	900	
0	0	0	0	0	0	0	0	0	0	0	0	
952	577	1071	1280	899	986	530	275	391	489	503	411	
62	30	65	157	40	31	165	5	29	32	22	73	
586	714	664	563	661	583	505	264	380	679	575	416	
62	30	65	157	40	31	165	5	29	32	22	73	
952	577	1071	1280	899	985	527	275	391	489	503	411	
16	9	21	18	15	12	2	5	7	13	14	16	
998	598	1115	1419	924	1004	690	275	413	508	511	468	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

8	7	10	19	4	6	3	1	7	2	4	6	
214	139	229	315	227	201	152	69	107	127	124	99	
94	54	123	162	98	98	83	39	54	78	70	54	
649	378	724	876	572	672	432	159	235	290	294	299	
13	7	10	17	11	14	7	2	5	2	6	2	
12	7	9	16	4	4	5	2	3	4	7	4	
5	4	3	9	5	5	4	3	0	3	3	2	
3	2	7	5	3	4	4	0	2	2	3	2	
