"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	
2122	2219	2141	2204	1971	2440	2183	2195	2051	2232	1988	2462	2052	2355	
2050	2150	2100	2200	2000	2350	2150	2150	2050	2200	1900	2400	2000	2300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1354	1408	1264	1354	1127	1133	1257	1371	1267	1304	1239	1576	1398	1520	
16	20	16	18	27	65	15	23	17	18	33	22	8	9	
680	722	820	828	846	1152	878	756	766	878	628	802	594	771	
16	20	16	18	27	65	15	23	17	18	33	22	8	9	
1354	1408	1263	1354	1127	1133	1255	1371	1255	1304	1234	1575	1398	1517	
17	21	10	10	12	6	12	20	13	16	10	16	3	19	
1353	1407	1269	1362	1142	1192	1258	1374	1259	1306	1257	1581	1403	1507	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	6	6	10	8	5	8	10	9	8	8	10	11	16	
124	123	112	124	114	114	118	111	94	109	98	138	130	129	
145	123	161	120	91	152	152	137	124	146	134	179	119	152	
1027	1076	932	1053	874	863	927	1032	961	980	960	1194	1069	1140	
26	35	26	25	28	26	23	29	20	25	27	22	26	24	
5	13	5	13	6	6	5	16	10	10	10	9	13	16	
8	11	8	9	13	11	9	16	14	10	6	18	15	6	
10	20	19	8	8	15	16	23	27	18	14	11	20	24	
