"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	
443	722	287	184	171	466	338	843	803	197	90	380	157	691	220	442	136	431	669	1354	2105	376	1057	372	452	1098	453	1419	351	113	291	175	127	89	360	298	217	265	1754	1024	116	134	53	
440	750	300	200	180	490	340	860	840	200	95	370	170	720	240	480	130	430	660	1300	2100	410	1100	400	480	1100	470	1400	350	120	310	190	115	100	380	300	210	270	1720	970	100	140	70	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	47	0	0	0	0	0	0	23	0	0	0	11	0	0	0	0	
213	380	147	96	83	210	187	454	378	95	60	209	55	333	126	207	63	201	401	804	1199	193	531	134	214	555	197	657	143	42	160	44	74	48	101	108	79	122	891	452	29	58	34	
23	24	3	7	12	13	11	47	29	10	1	21	10	22	10	20	3	21	15	23	58	9	14	38	15	37	16	30	51	2	25	2	5	1	12	31	50	13	52	35	36	13	7	
204	346	150	97	85	267	142	359	433	95	34	140	105	365	104	253	64	208	244	451	843	208	555	228	251	508	257	666	156	76	125	144	36	51	244	161	81	135	766	483	35	69	29	
23	24	3	7	12	13	11	47	29	10	1	21	10	22	10	20	3	21	15	45	58	9	14	38	15	37	16	77	51	2	25	2	5	1	35	31	50	13	63	35	36	13	7	
213	380	147	96	83	210	187	454	378	95	60	209	55	333	126	207	63	201	401	804	1196	193	531	134	214	555	197	657	143	42	160	44	74	48	101	108	79	122	891	452	29	58	34	
0	1	2	0	0	0	1	2	3	0	0	0	1	2	0	1	0	1	3	3	9	2	5	0	1	11	0	4	1	0	0	0	1	0	0	0	1	2	9	5	0	0	0	
236	403	148	103	95	223	197	499	404	105	61	230	64	353	136	226	66	221	413	846	1245	200	540	172	228	581	213	730	193	44	185	46	78	49	136	139	128	133	945	482	65	71	41	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	2	1	2	1	2	6	8	0	1	3	5	3	0	2	1	2	1	7	11	0	6	0	3	4	0	4	2	2	2	0	2	3	0	1	0	2	9	8	2	0	0	
13	26	11	9	7	15	6	27	10	3	3	8	3	22	7	16	5	7	31	52	77	19	41	4	8	41	9	34	3	3	4	2	5	2	7	7	3	11	54	24	5	4	0	
22	44	24	18	17	23	28	61	47	8	3	20	10	27	10	27	14	21	41	71	110	37	50	27	19	53	20	68	22	6	16	5	10	6	14	11	5	11	77	45	8	7	1	
197	319	108	73	69	180	157	386	328	90	54	195	46	296	119	175	44	183	332	685	1010	138	423	132	196	465	176	605	160	33	156	37	60	36	112	120	114	104	771	384	50	59	40	
2	2	1	1	0	0	3	8	4	3	0	2	0	4	0	2	1	1	3	15	8	1	7	2	1	5	1	8	3	0	2	0	1	0	1	0	1	1	7	6	0	0	0	
1	3	0	0	0	3	1	7	1	1	0	0	0	0	0	4	0	1	3	7	5	2	7	2	0	4	3	8	3	0	2	0	0	2	1	0	3	1	8	4	0	1	0	
0	5	1	1	0	1	0	2	4	0	0	1	0	1	0	0	1	3	2	5	12	0	5	1	1	7	4	1	0	0	1	1	0	0	0	0	2	1	9	4	0	0	0	
0	2	1	0	0	0	0	2	2	0	0	1	0	0	0	0	0	3	0	4	12	3	1	4	0	2	0	2	0	0	2	1	0	0	1	0	0	2	10	7	0	0	0	
