"УИК №918"	"УИК №919"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №927"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №948"	"УИК №950"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	
495	426	333	1574	2014	269	214	2146	578	1450	116	121	931	523	914	141	148	192	324	356	176	714	159	2436	208	393	263	102	223	532	198	799	469	119	
360	320	250	1150	1500	200	190	1600	450	1100	90	90	700	400	700	100	120	150	250	280	140	550	100	1800	140	300	200	75	170	400	150	610	350	85	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	27	0	39	0	0	0	0	0	0	0	0	
284	193	151	980	1208	125	172	1134	252	897	44	55	420	263	465	56	52	81	140	114	99	336	83	1135	73	142	101	51	95	245	64	379	198	69	
24	19	18	40	48	15	4	75	38	25	7	11	48	23	14	13	14	5	28	23	2	42	13	141	33	26	23	6	24	31	26	20	62	9	
52	108	81	130	244	60	14	391	160	178	39	24	232	114	221	31	54	64	82	123	39	172	4	497	34	93	76	18	51	124	60	211	90	7	
24	19	18	40	48	15	4	75	38	25	7	11	48	23	14	13	14	5	28	43	2	42	13	168	33	65	23	6	24	31	26	20	62	9	
284	193	151	980	1208	125	172	1134	252	897	44	55	420	263	465	56	52	81	140	114	99	336	83	1134	73	142	101	51	95	245	64	379	198	69	
1	2	3	8	14	1	3	21	1	8	0	0	6	3	6	0	0	0	0	3	0	0	1	16	0	1	0	2	1	2	0	6	0	0	
307	210	166	1012	1242	139	173	1188	289	914	51	66	462	283	473	69	66	86	168	154	101	378	95	1286	106	206	124	55	118	274	90	393	260	78	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	3	4	9	1	0	15	2	5	0	0	1	2	5	2	1	1	1	1	2	5	1	15	0	1	1	1	0	5	0	2	2	0	
19	20	13	112	145	7	14	160	25	107	3	5	35	18	34	6	3	10	11	7	5	13	8	136	3	8	9	0	11	23	11	19	15	5	
36	23	10	92	111	18	25	116	33	84	4	8	40	37	68	4	3	8	24	18	11	34	13	136	10	30	8	5	19	24	20	54	22	10	
247	157	136	765	925	111	128	866	224	687	43	52	366	219	351	53	58	65	127	126	81	315	67	946	92	162	104	48	88	211	59	304	214	63	
1	3	3	20	22	1	1	20	1	15	0	1	12	3	3	0	0	2	4	2	0	6	2	21	0	2	0	1	0	5	0	6	1	0	
0	0	0	8	12	0	0	5	1	6	1	0	4	0	9	1	0	0	1	0	2	4	1	8	1	0	2	0	0	0	0	4	2	0	
1	2	0	5	6	0	2	3	1	8	0	0	1	2	2	1	0	0	0	0	0	1	0	15	0	0	0	0	0	4	0	2	1	0	
0	3	1	6	12	1	3	3	2	2	0	0	3	2	1	2	1	0	0	0	0	0	3	9	0	3	0	0	0	2	0	2	3	0	
