"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	
1958	1522	1412	1615	1249	691	522	1009	416	106	83	822	385	1867	760	346	2053	196	377	296	291	540	814	1231	1213	900	169	285	798	344	872	1091	732	553	1325	203	309	332	478	1499	593	1849	
2000	1540	1450	1680	1280	710	535	1050	440	107	79	860	400	1900	780	350	2120	200	380	300	290	560	820	1260	1230	920	163	280	850	340	890	1100	740	560	1390	207	310	330	490	1520	628	1890	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1102	772	727	807	663	368	297	614	206	64	61	381	223	720	441	199	1105	89	222	136	134	314	371	494	450	717	102	118	472	158	478	507	392	316	680	103	172	176	326	638	442	790	
53	75	36	34	46	28	25	43	25	6	2	144	22	112	53	16	58	19	33	13	21	15	50	99	107	56	5	32	47	43	51	79	51	23	42	20	25	15	34	130	17	127	
845	693	687	839	571	314	213	393	209	37	16	335	155	1068	286	135	957	92	125	151	135	231	399	667	673	147	56	130	331	139	361	514	297	221	668	84	113	139	130	752	169	973	
53	75	36	34	46	28	25	43	25	6	2	144	22	112	53	16	58	19	33	13	21	15	50	99	107	56	5	32	47	43	51	79	51	23	42	20	25	15	34	130	17	127	
1102	772	727	807	663	368	297	614	206	64	61	381	223	720	441	199	1105	89	222	136	134	314	371	494	450	717	102	118	472	158	478	507	392	316	680	103	172	176	326	638	442	790	
22	7	6	8	4	9	7	8	3	0	3	9	6	14	11	2	24	0	2	2	3	4	9	7	6	12	0	2	16	3	3	8	5	5	11	1	2	6	0	14	2	9	
1133	840	757	833	705	387	315	649	228	70	60	516	239	818	483	213	1139	108	253	147	152	325	412	586	551	761	107	148	503	198	526	578	438	334	711	122	195	185	360	754	457	908	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	2	3	2	3	2	1	0	2	0	2	0	5	5	0	4	0	0	2	0	2	1	4	2	3	0	0	1	1	5	2	4	3	2	0	2	1	0	3	1	7	
214	178	144	181	181	91	68	103	26	5	4	89	46	150	50	30	273	13	37	15	30	56	99	102	114	82	18	23	75	30	138	88	35	113	106	20	39	34	39	54	133	115	
68	42	18	26	12	10	5	4	4	2	3	10	2	44	13	4	17	4	4	0	3	2	9	29	37	5	1	9	7	21	11	31	5	11	14	2	3	7	5	33	5	23	
817	591	583	605	490	274	233	530	194	60	52	409	187	602	405	174	813	90	208	126	115	261	299	434	385	650	84	113	411	143	364	451	385	199	570	96	147	141	311	653	313	746	
14	10	7	5	13	3	1	3	2	0	0	5	2	8	4	5	13	1	2	3	1	3	2	4	4	15	2	3	3	0	6	1	6	4	12	1	1	0	2	4	2	5	
6	8	1	4	4	3	3	2	2	0	0	0	0	3	2	0	11	0	0	0	1	1	1	7	4	4	2	0	3	3	1	3	3	2	1	2	3	1	2	6	3	7	
6	7	1	2	0	1	2	1	0	0	0	1	1	4	2	0	3	0	2	1	2	0	1	3	2	2	0	0	0	0	0	1	0	0	5	0	0	1	1	0	0	3	
7	3	1	7	3	2	1	5	0	1	1	0	1	2	2	0	5	0	0	0	0	0	0	3	3	0	0	0	3	0	1	1	0	2	1	1	0	0	0	1	0	2	
