"УИК №2317"	"УИК №2318"	"УИК №2319"	"УИК №2320"	"УИК №2321"	"УИК №2322"	"УИК №2323"	"УИК №2324"	"УИК №2325"	"УИК №2326"	"УИК №2327"	"УИК №2328"	"УИК №2329"	"УИК №2330"	"УИК №2331"	"УИК №2332"	"УИК №2333"	"УИК №2334"	"УИК №2335"	"УИК №2336"	"УИК №2337"	"УИК №2338"	"УИК №2339"	"УИК №2340"	"УИК №2341"	"УИК №2342"	"УИК №2343"	"УИК №2344"	"УИК №2345"	"УИК №2346"	"УИК №2347"	"УИК №3498"	
360	311	142	431	126	126	203	147	366	2177	1697	952	130	401	170	192	584	299	218	308	303	432	124	243	254	355	219	533	185	482	495	549	
350	300	135	410	120	120	195	140	350	2100	1690	950	125	380	160	180	560	280	205	295	290	405	120	230	240	335	210	500	180	460	460	525	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
301	243	127	252	97	102	116	103	287	1698	1519	877	121	344	156	175	486	244	174	266	243	397	107	191	213	297	187	380	130	378	402	480	
11	9	3	22	5	6	0	0	13	73	22	27	4	15	4	2	15	9	0	10	17	8	0	20	7	15	6	24	14	33	20	30	
38	48	5	136	18	12	79	37	50	329	149	46	0	21	0	3	59	27	31	19	30	0	13	19	20	23	17	96	36	49	38	15	
11	9	3	22	5	6	0	0	13	73	22	27	4	15	4	2	15	9	0	10	17	8	0	20	7	15	6	24	14	33	20	30	
301	243	127	252	97	102	116	103	287	1698	1519	877	121	344	156	175	486	244	174	266	243	397	107	191	213	297	187	380	130	378	402	480	
2	2	0	4	0	0	3	1	4	23	18	0	0	0	3	2	3	9	2	0	0	0	0	5	0	2	0	4	4	4	10	0	
310	250	130	270	102	108	113	102	296	1748	1523	904	125	359	157	175	498	244	172	276	260	405	107	206	220	310	193	400	140	407	412	510	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	0	1	0	1	3	1	2	10	3	2	0	0	0	0	3	4	1	0	2	1	0	0	0	5	0	5	0	3	2	0	
33	23	17	68	17	33	25	31	52	244	284	47	14	66	18	18	30	95	34	41	44	49	12	42	31	50	4	52	11	45	76	39	
9	15	4	14	8	1	4	8	9	65	39	10	2	5	7	7	9	4	5	5	5	14	2	2	5	10	7	34	13	27	6	7	
259	204	105	177	74	72	78	57	230	1380	1170	832	109	283	127	147	452	137	129	227	205	327	91	157	180	233	178	306	113	312	309	459	
1	2	0	3	1	1	0	4	1	12	10	4	0	2	1	0	2	1	2	2	2	5	1	2	4	6	3	0	0	6	4	5	
2	4	4	4	0	0	0	1	1	16	1	4	0	0	2	2	2	2	1	1	1	5	1	1	0	3	1	2	3	13	6	0	
2	1	0	3	2	0	3	0	0	15	9	5	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	3	0	
2	0	0	0	0	0	0	0	1	6	7	0	0	3	1	0	0	1	0	0	1	3	0	1	0	2	0	0	0	0	6	0	
