"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	
2812	2691	2975	2412	2591	2652	2740	2488	2281	2530	2154	2360	2811	3067	2831	2748	2985	2112	2634	3112	1192	1560	3017	2892	2678	2892	2763	2578	2193	2493	2987	2625	2634	2347	2290	2339	2256	2383	2337	2254	2015	2565	2650	2167	1970	2536	2373	2087	2217	2711	1868	2114	2572	2629	2197	2238	2219	2220	1787	2083	1867	187	163	2008	421	79	458	101	
2700	2600	2800	2400	2400	2500	2600	2300	2200	2400	2100	2200	2700	2900	2700	2600	2900	1900	2600	2900	1100	1500	2800	2700	2600	2700	2700	2400	2100	2400	2800	2500	2600	2200	2200	2200	2200	2300	2200	2200	1900	2400	2500	2000	1900	2400	2200	2000	2100	2500	1800	2000	2500	2500	2100	2200	2100	2100	1700	2000	1800	160	140	1900	421	76	458	101	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2226	2150	2500	1451	2077	2105	2289	2094	1875	2134	1723	1966	2249	2012	2076	2345	2506	1823	2010	1974	976	1068	1548	1275	2003	2132	1287	1451	1611	1844	1531	1426	1459	1832	1898	1858	1828	1994	1291	1876	1483	2063	2203	1588	1606	1912	1973	1696	1769	1929	1460	1684	2071	2009	1631	1812	1718	1680	1294	1744	1544	153	128	970	78	76	384	101	
51	29	28	36	57	96	26	26	38	19	12	40	26	51	19	24	40	26	55	48	37	34	86	146	23	36	70	75	32	27	52	78	81	46	50	37	26	36	33	51	77	136	76	36	51	92	68	20	27	104	70	49	45	56	68	24	57	36	47	39	36	5	9	85	343	0	74	0	
423	421	272	913	266	299	285	180	287	247	365	194	425	837	605	231	354	51	535	878	87	398	1166	1279	574	532	1343	874	457	529	1217	996	1060	322	252	305	346	270	876	273	340	201	221	376	243	396	159	284	304	467	270	267	384	435	401	364	325	384	359	217	220	2	3	845	0	0	0	0	
51	29	28	36	57	96	26	26	38	19	12	40	26	51	19	24	40	26	55	48	37	34	86	146	23	36	70	75	32	27	52	78	81	46	50	37	26	36	33	51	77	136	76	36	51	92	68	20	27	104	70	49	45	56	68	24	57	36	47	39	36	5	9	85	343	0	74	0	
2223	2146	2500	1451	2077	2105	2287	2092	1873	2134	1722	1954	2246	2010	2074	2345	2502	1820	2010	1970	974	1066	1548	1275	2000	2131	1287	1451	1610	1842	1531	1426	1459	1832	1898	1853	1824	1992	1291	1872	1481	2063	2200	1585	1605	1910	1973	1696	1769	1929	1459	1683	2059	2006	1631	1812	1718	1678	1293	1740	1543	153	128	961	78	76	384	101	
20	9	22	17	26	15	8	12	10	14	11	14	20	15	17	20	1	5	30	5	4	10	24	24	24	24	37	23	5	2	7	4	39	24	26	29	19	25	15	23	9	10	0	33	9	26	9	12	2	20	5	7	10	32	17	16	24	11	2	8	4	2	1	9	0	0	0	0	
2254	2166	2506	1470	2108	2186	2305	2106	1901	2139	1723	1980	2252	2046	2076	2349	2541	1841	2035	2013	1007	1090	1610	1397	1999	2143	1320	1503	1637	1867	1576	1500	1501	1854	1922	1861	1831	2003	1309	1900	1549	2189	2276	1588	1647	1976	2032	1704	1794	2013	1524	1725	2094	2030	1682	1820	1751	1703	1338	1771	1575	156	136	1037	421	76	458	101	
