"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	
329	130	1236	548	562	472	883	1236	1316	1031	1474	1219	1216	1196	1177	816	358	685	202	177	352	428	596	1413	140	993	
330	135	1238	548	564	474	886	1232	1321	1005	1478	1224	1221	1194	1184	819	358	677	205	168	345	427	598	1420	140	990	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
263	96	1041	466	431	327	800	792	838	858	1336	1117	814	1122	1000	702	289	574	151	127	267	333	352	1153	105	803	
36	16	116	53	125	142	42	48	50	95	96	63	51	26	70	68	53	57	11	21	75	75	130	153	24	164	
31	23	81	29	8	5	44	392	433	52	46	44	356	46	114	49	16	46	43	20	3	19	116	114	11	23	
36	16	116	53	125	142	42	48	50	95	96	63	51	26	70	68	53	57	11	21	75	75	130	153	24	164	
263	96	1041	466	431	327	800	792	838	858	1336	1117	814	1122	1000	702	289	574	151	127	267	333	352	1153	105	803	
0	1	6	3	7	1	0	15	9	6	16	17	6	33	5	6	0	4	3	1	1	4	4	86	0	7	
299	111	1151	516	549	468	842	825	879	947	1416	1163	859	1115	1065	764	342	627	159	147	341	404	478	1220	129	960	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	4	4	1	1	1	8	2	1	6	0	6	1	0	2	1	1	0	0	2	1	3	9	0	1	
13	4	84	39	11	18	33	82	97	140	78	84	83	89	49	39	21	28	7	7	5	11	48	64	7	43	
17	4	42	27	2	3	28	68	58	28	71	40	47	24	33	45	1	28	4	5	6	19	49	55	7	38	
263	97	1009	438	526	441	766	639	694	760	1247	1025	710	981	972	662	316	561	146	132	320	367	372	1076	114	863	
1	3	5	3	2	2	6	9	14	5	5	5	9	8	6	8	1	2	2	2	4	3	2	6	0	8	
5	1	3	2	3	2	1	10	5	7	6	5	1	6	3	4	0	5	0	1	1	1	3	6	1	5	
0	0	4	2	1	1	6	1	6	5	1	3	2	3	2	3	1	2	0	0	0	2	0	1	0	2	
0	0	0	1	3	0	1	8	3	1	2	1	1	3	0	1	1	0	0	0	3	0	1	3	0	0	
