"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	
53	111	609	985	99	48	488	154	311	128	376	93	332	144	74	697	116	1288	1382	1104	545	654	102	121	207	546	204	868	762	907	795	373	330	250	1124	88	478	
55	115	590	820	100	48	460	130	270	120	360	85	330	130	70	600	100	1100	1100	1000	530	600	100	135	195	560	180	810	650	865	710	300	310	225	1020	85	470	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	81	452	644	86	41	404	106	222	98	273	76	247	110	65	392	92	859	845	737	355	384	70	86	155	339	108	553	440	556	420	218	245	196	787	78	334	
3	22	53	76	7	3	44	12	36	12	58	7	38	20	0	78	8	44	120	40	60	94	21	15	40	43	34	48	52	53	68	56	27	14	54	0	53	
4	12	85	100	7	4	12	12	12	10	29	2	45	0	5	130	0	197	135	223	115	122	9	34	0	178	38	209	158	256	222	26	38	15	179	7	83	
3	22	53	76	7	3	44	12	36	12	58	7	38	20	0	78	8	44	120	40	60	94	21	15	40	43	34	48	52	53	68	56	27	14	54	0	53	
48	81	452	644	86	41	404	106	222	98	273	76	247	110	65	392	92	858	845	737	355	384	70	86	155	339	108	553	440	556	420	218	245	196	787	78	334	
0	0	6	6	0	0	12	1	3	0	1	0	3	1	0	5	0	13	13	15	8	6	0	1	2	0	2	12	4	8	7	4	4	1	11	0	7	
51	103	499	714	93	44	436	117	255	110	330	83	282	129	65	465	100	889	952	762	407	472	91	100	193	382	140	589	488	601	481	270	268	209	830	78	380	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	0	1	0	0	0	1	0	0	1	3	1	0	2	0	4	3	3	2	0	1	0	0	3	1	3	0	3	0	0	0	1	4	0	3	
11	10	82	93	7	3	69	12	19	22	27	7	37	1	10	70	17	153	148	158	59	64	5	7	24	97	31	84	99	83	67	34	35	30	162	11	49	
3	11	35	66	11	5	32	14	14	7	30	4	18	12	14	56	11	75	82	74	54	34	5	6	15	37	21	66	63	66	70	32	32	27	104	7	44	
27	79	372	544	72	35	320	90	217	81	263	70	220	115	41	328	70	646	696	516	287	370	78	85	152	234	85	419	310	422	335	197	198	147	538	58	283	
0	0	2	4	1	0	6	1	1	0	3	0	2	0	0	4	2	9	10	3	1	0	2	0	0	6	1	6	7	7	5	1	2	2	9	0	0	
6	2	2	3	0	1	3	0	2	0	2	0	1	0	0	2	0	1	8	1	2	1	0	1	2	0	1	7	5	16	0	6	1	2	10	2	0	
1	0	4	3	0	0	0	0	1	0	3	1	1	0	0	1	0	0	2	5	1	2	0	0	0	2	0	2	1	2	4	0	0	0	3	0	0	
2	1	1	1	1	0	6	0	0	0	2	0	0	0	0	2	0	1	3	2	1	1	0	1	0	3	0	2	3	2	0	0	0	0	0	0	1	
