"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	
409	1028	1472	1607	1640	2046	1511	1510	2731	2439	2147	1955	2312	2081	2512	1513	1771	617	771	2579	1295	
397	998	1467	1560	1637	1987	1507	1506	2652	2368	2085	1898	2245	2020	2440	1508	1768	616	770	2582	1289	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
377	979	1367	1546	1510	1946	1398	1406	2629	2319	2067	1881	2232	2005	2419	1400	1659	503	630	2458	1181	
7	13	4	5	28	36	7	8	14	37	11	12	10	7	13	9	12	19	2	8	12	
13	6	96	9	99	5	102	92	9	12	7	5	3	8	8	99	97	94	138	116	96	
7	13	4	5	28	36	7	8	14	37	11	12	10	7	13	9	12	19	2	8	12	
377	979	1367	1546	1510	1946	1398	1406	2629	2319	2067	1881	2232	2005	2419	1400	1659	503	630	2458	1181	
0	1	27	1	11	1	22	16	2	2	1	1	1	1	1	14	57	10	8	20	32	
384	991	1344	1550	1527	1981	1383	1398	2641	2354	2077	1892	2241	2011	2431	1395	1614	512	624	2446	1161	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	7	6	16	11	7	6	3	12	38	29	5	3	4	74	3	29	9	4	9	9	
16	4	205	34	271	9	126	224	15	39	58	2	7	8	101	107	198	95	141	492	129	
2	2	4	3	1	2	7	3	2	4	3	4	3	2	5	3	18	5	1	5	3	
355	973	1103	1488	1198	1955	1187	1148	2601	2257	1972	1876	2223	1990	2237	1257	1317	372	459	1899	984	
1	1	14	3	19	2	48	12	3	4	2	1	1	2	3	18	35	23	16	20	16	
1	1	1	2	15	2	4	4	2	1	2	1	1	1	1	1	2	4	1	2	8	
1	2	5	2	2	2	0	0	2	2	3	2	1	2	1	0	4	0	1	1	4	
2	1	6	2	10	2	5	4	4	9	8	1	2	2	9	6	11	4	1	18	8	
