"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №434"	"УИК №447"	"УИК №448"	"УИК №457"	"УИК №458"	
2380	2638	2589	2441	2049	2353	2426	2263	2489	2597	2737	1080	1482	2433	1980	1508	1728	1501	1142	1409	987	2698	2517	2536	1350	2265	1519	1764	1506	1072	1395	1424	1666	1336	1037	533	
2350	2605	2552	2406	2019	2319	2391	2231	2256	2560	2698	1064	1461	2398	1953	1486	1703	1479	1125	1390	972	2659	2481	2499	1330	2232	1497	1738	1484	1056	1375	1403	1642	1316	1037	533	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2241	2545	2525	2363	1948	2276	2320	2156	2199	2482	2657	1018	1403	2343	1907	1435	1636	1444	1087	1331	944	2589	2432	2435	1284	2156	1447	1677	1450	1002	1338	1374	1610	1267	1037	509	
20	13	10	15	12	16	10	16	13	19	17	9	10	18	15	5	15	13	9	17	6	17	14	13	5	22	11	16	11	5	10	6	7	10	0	0	
89	47	17	28	59	27	61	59	44	59	24	37	48	37	31	46	52	22	29	42	22	53	35	51	41	54	39	45	23	49	27	23	25	39	0	24	
20	13	10	15	12	16	10	16	13	19	17	9	10	18	15	5	15	13	9	17	6	17	14	13	5	22	11	16	11	5	10	6	7	10	0	0	
2241	2545	2525	2363	1948	2276	2320	2156	2199	2482	2657	1018	1403	2343	1907	1435	1636	1444	1087	1331	944	2589	2432	2435	1284	2156	1447	1677	1450	1002	1338	1374	1610	1267	1037	509	
2	3	2	3	2	1	2	2	2	3	3	1	1	2	1	2	1	1	1	2	1	3	2	3	1	2	1	2	1	1	1	1	1	1	1	0	
2259	2555	2533	2375	1958	2291	2328	2170	2210	2498	2671	1026	1412	2359	1921	1438	1650	1456	1095	1346	949	2603	2444	2445	1288	2176	1457	1691	1460	1006	1347	1379	1616	1276	1036	509	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

34	24	15	34	12	34	5	6	7	18	6	11	21	17	16	21	34	27	21	17	19	22	56	42	17	37	17	53	47	34	67	27	34	14	22	34	
32	25	18	14	21	33	2	3	4	5	13	32	39	28	64	102	259	139	65	94	192	254	168	97	21	89	42	17	38	34	37	17	25	47	65	34	
3	2	2	2	1	2	3	2	4	2	3	1	2	2	1	3	2	2	2	1	2	1	2	1	2	5	2	2	3	1	1	2	1	2	1	0	
2136	2466	2465	2285	1902	2185	2275	2077	2161	2416	2604	957	1311	2280	1803	1274	1323	1243	964	1181	715	2286	2190	2288	1230	2014	1364	1606	1328	905	1212	1307	1515	1177	923	414	
6	4	8	2	3	5	6	2	3	1	2	1	4	3	7	1	5	16	4	3	7	9	7	2	3	19	10	7	19	9	4	7	9	16	4	13	
10	9	4	2	3	7	8	14	2	3	4	7	17	4	10	17	6	9	12	7	3	2	4	2	5	2	9	4	2	2	17	9	8	6	5	2	
26	18	12	24	14	19	22	37	12	27	15	9	7	6	4	2	14	11	22	9	8	7	6	4	2	3	4	1	10	4	3	2	17	3	4	3	
12	7	9	12	2	6	7	29	17	26	24	8	11	19	16	18	7	9	5	34	3	22	11	9	8	7	9	1	13	17	6	8	7	11	12	9	
