"УИК №1888"	"УИК №1889"	"УИК №1890"	"УИК №1891"	"УИК №1892"	"УИК №1893"	"УИК №1894"	"УИК №1895"	"УИК №1896"	"УИК №1897"	"УИК №1898"	"УИК №1899"	"УИК №1900"	"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1915"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	"УИК №1925"	"УИК №1926"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1930"	"УИК №1931"	"УИК №1932"	"УИК №1933"	"УИК №1934"	"УИК №1935"	"УИК №1936"	"УИК №1937"	"УИК №1938"	"УИК №1939"	"УИК №1940"	"УИК №1941"	"УИК №1942"	"УИК №1943"	"УИК №1944"	"УИК №1945"	"УИК №1946"	"УИК №1947"	"УИК №1948"	"УИК №1949"	"УИК №2276"	"УИК №2277"	"УИК №2400"	
2292	986	888	891	2470	2122	2539	565	2427	2614	2628	1972	926	2170	2389	1589	1583	1103	1690	837	1254	1734	1136	492	1305	1249	2345	2082	2399	2299	1982	2558	1473	2477	2093	865	1622	2291	1917	2273	1663	570	2051	1059	2365	1311	2245	2192	1171	2320	1017	430	2841	1247	1500	2389	1846	2447	306	2604	363	1201	1032	2631	1037	
2300	1000	900	1000	2500	2000	2500	500	2400	2500	2500	1900	900	2100	2300	1500	1600	1100	1500	800	1200	1600	1000	500	1200	1100	2300	2100	2400	2300	1800	2500	1400	2400	2100	800	1600	2300	1900	2300	1700	500	2000	1000	2400	1400	2300	2200	1200	2300	1000	400	2900	1200	1500	2400	1800	2300	300	2600	300	1200	1000	2500	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1161	552	666	596	1782	1740	1394	304	1340	1449	1377	1006	489	1487	1455	1041	850	649	973	501	699	965	542	293	907	764	1525	1296	1436	1490	1227	1608	894	1568	1177	525	916	1382	1152	1160	836	336	1252	578	1254	748	1576	1520	605	1291	683	238	1947	811	892	1459	1084	1512	185	1665	200	673	593	1563	508	
153	67	78	183	143	108	79	25	105	74	103	57	41	41	50	50	105	32	184	33	42	55	180	9	107	60	46	58	68	64	94	100	25	71	52	32	71	37	47	85	93	30	44	36	79	79	51	60	46	87	31	34	284	51	46	45	70	45	22	58	27	78	31	58	13	
986	381	156	221	575	152	1027	171	955	977	1020	837	370	572	795	409	645	419	343	266	459	580	278	198	186	276	729	746	896	746	479	792	481	761	871	243	613	881	701	1055	771	134	704	386	1067	573	673	620	549	922	286	128	669	338	562	896	646	743	93	877	73	449	376	879	479	
153	67	78	183	143	108	79	25	105	74	103	57	41	41	50	50	105	32	184	33	42	55	180	9	107	60	46	58	68	64	94	100	25	71	52	32	71	37	47	85	93	30	44	36	79	79	51	60	46	87	31	34	284	51	46	45	70	45	22	58	27	78	31	58	13	
1161	552	666	596	1782	1740	1394	304	1329	1448	1377	1006	489	1487	1454	1041	850	649	973	501	699	965	542	293	907	764	1525	1296	1436	1490	1227	1608	894	1568	1177	525	916	1382	1152	1160	836	336	1252	578	1254	748	1576	1520	605	1291	683	238	1947	811	892	1459	1084	1512	185	1664	200	673	593	1563	508	
19	10	7	9	19	14	26	1	24	28	24	19	9	16	27	18	10	10	27	9	14	17	11	7	4	15	24	19	25	41	20	31	14	28	28	11	3	21	22	21	13	6	23	13	19	16	21	23	8	27	6	2	30	11	11	24	18	30	1	47	1	8	10	21	12	
1295	609	737	770	1906	1834	1447	328	1410	1494	1456	1044	521	1512	1477	1073	945	671	1130	525	727	1003	711	295	1010	809	1547	1335	1479	1513	1301	1677	905	1611	1201	546	984	1398	1177	1224	916	360	1273	601	1314	811	1606	1557	643	1351	708	270	2201	851	927	1480	1136	1527	206	1675	226	743	614	1600	509	
