"УИК №1750"	"УИК №1751"	"УИК №1752"	"УИК №1753"	"УИК №1754"	"УИК №1755"	"УИК №1756"	"УИК №1757"	"УИК №1758"	"УИК №1759"	"УИК №1760"	"УИК №1761"	"УИК №1762"	"УИК №1763"	"УИК №1764"	"УИК №1765"	"УИК №1766"	"УИК №1767"	"УИК №1768"	"УИК №1769"	"УИК №1770"	"УИК №1771"	"УИК №1772"	"УИК №1773"	"УИК №1774"	"УИК №1775"	"УИК №1776"	"УИК №1777"	"УИК №1778"	"УИК №1779"	"УИК №1780"	"УИК №1781"	"УИК №1782"	"УИК №1783"	"УИК №1784"	"УИК №1785"	
894	131	390	152	113	132	758	160	154	584	232	182	72	101	559	132	249	147	209	1497	229	227	1309	205	180	160	514	179	210	1574	1714	94	211	201	140	1275	
935	140	430	170	135	135	785	165	170	640	250	200	75	105	560	135	290	155	235	1645	285	250	1370	210	225	185	540	195	215	1710	1735	115	240	205	160	1340	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
605	107	311	122	94	110	554	127	116	356	160	134	44	75	426	107	212	128	193	1032	204	199	942	127	130	111	412	160	192	1093	1082	73	173	146	103	855	
63	7	52	17	10	12	74	10	18	71	15	18	3	12	40	12	20	9	10	162	15	22	95	18	17	5	30	10	6	107	130	7	18	30	16	126	
267	26	67	31	31	13	157	28	36	213	75	48	28	18	94	16	58	18	32	451	66	29	333	65	78	69	98	25	17	510	523	35	49	29	41	359	
63	7	52	17	10	12	74	10	18	71	15	18	3	12	40	12	20	9	10	162	15	22	95	18	17	5	30	10	6	107	130	7	18	30	16	126	
605	107	311	122	94	110	554	127	116	356	160	134	44	75	426	107	212	128	193	1032	204	199	942	127	130	111	412	160	192	1093	1082	73	173	146	103	855	
10	0	9	0	0	1	6	0	0	9	1	0	0	1	2	2	5	0	2	6	1	3	22	0	2	1	0	0	1	16	14	0	1	0	1	13	
658	114	354	139	104	121	622	137	134	418	174	152	47	86	464	117	227	137	201	1188	218	218	1015	145	145	115	442	170	197	1184	1198	80	190	176	118	968	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	1	1	3	1	4	0	1	5	1	0	0	1	2	1	1	0	0	4	1	2	2	0	0	0	1	0	0	5	2	0	1	0	0	7	
88	11	53	23	8	12	129	7	11	46	15	34	7	6	72	26	68	8	22	248	17	9	205	13	24	9	56	21	14	199	191	8	29	14	2	133	
37	6	24	10	7	11	43	10	5	33	15	12	0	5	31	9	14	8	3	96	13	12	50	3	7	5	28	16	16	65	76	3	11	10	4	56	
522	97	270	102	85	91	428	120	115	323	141	103	40	74	345	80	141	120	167	823	187	191	739	128	111	99	354	131	163	878	897	68	145	147	108	728	
1	0	4	0	1	2	2	0	1	3	2	2	0	0	4	0	2	0	3	7	0	3	8	0	0	1	2	0	0	24	12	0	2	0	1	10	
2	0	1	0	0	4	6	0	1	3	0	0	0	0	5	1	0	0	6	5	0	0	7	1	3	0	1	0	4	4	8	0	1	2	2	26	
1	0	0	2	0	0	6	0	0	2	0	1	0	0	4	0	0	0	0	3	0	1	4	0	0	0	0	2	0	4	6	1	0	3	1	2	
4	0	1	1	0	0	4	0	0	3	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	1	0	0	0	5	6	0	1	0	0	6	
