"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	
1540	2091	2084	1749	1604	1199	852	1111	1120	614	184	437	353	125	311	391	77	70	110	116	149	761	519	225	326	96	177	273	807	
1250	1700	1700	1400	1300	950	700	850	950	590	185	435	350	120	300	380	75	70	105	115	145	760	510	220	315	95	180	275	840	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
939	1359	1384	1266	1093	700	529	617	635	390	143	349	271	110	235	316	67	59	100	99	118	565	393	181	273	85	154	178	587	
176	125	125	69	54	110	41	76	108	126	22	49	50	4	33	20	4	0	0	0	9	40	44	11	7	0	6	44	76	
135	216	191	65	153	140	130	157	207	74	20	37	29	6	32	44	4	11	5	16	18	155	73	28	35	10	20	53	177	
176	125	125	69	54	110	41	76	108	126	22	49	50	4	33	20	4	0	0	0	9	40	44	11	7	0	6	44	76	
939	1358	1383	1266	1093	699	529	617	635	390	143	349	271	110	235	316	67	59	100	99	118	565	393	181	273	85	154	178	587	
22	27	37	22	36	19	9	14	15	11	0	0	3	0	7	2	1	0	6	0	0	12	2	1	4	0	2	2	5	
1093	1456	1471	1313	1111	790	561	679	728	505	165	398	318	114	261	334	70	59	94	99	127	593	435	191	276	85	158	220	658	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	4	15	10	4	5	6	7	6	3	0	2	0	1	2	2	0	0	0	2	0	3	0	0	1	0	1	0	4	
149	217	208	153	147	117	77	79	91	43	17	33	20	0	28	42	1	1	11	9	4	80	27	7	45	11	19	21	97	
123	154	125	122	80	93	51	69	71	35	10	30	39	15	30	27	2	0	6	4	4	62	49	22	38	5	10	19	61	
782	1059	1079	989	851	557	418	507	545	412	132	327	246	96	187	254	64	56	70	84	117	420	353	161	183	66	123	175	483	
13	9	19	15	8	3	2	7	6	3	2	0	2	1	6	2	2	0	1	0	0	6	4	0	1	1	1	2	2	
7	4	9	8	8	3	2	4	3	2	0	1	4	0	4	2	0	2	5	0	1	11	1	0	4	2	2	2	6	
7	0	5	11	5	4	2	1	1	1	4	0	5	1	3	2	0	0	1	0	0	7	0	0	3	0	2	1	2	
1	9	11	5	8	8	3	5	5	6	0	5	2	0	1	3	1	0	0	0	1	4	1	1	1	0	0	0	3	
