"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	
545	179	477	94	611	733	184	138	511	1063	198	181	296	224	676	400	120	131	624	761	352	282	154	181	224	168	257	210	246	283	1316	1190	1742	1125	169	251	221	135	229	180	375	
610	180	500	90	660	800	180	140	530	1200	200	170	280	230	700	500	120	140	660	800	350	270	150	180	230	170	250	200	250	280	1350	1240	1760	1110	170	240	220	140	260	180	370	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
373	118	376	66	337	486	116	93	325	704	141	113	202	115	426	347	90	101	400	439	267	215	115	125	170	92	163	169	161	190	887	834	974	638	116	185	145	89	187	141	194	
45	18	28	10	95	83	22	10	56	215	30	33	15	51	78	37	8	10	56	113	14	25	8	15	13	9	44	14	22	24	66	26	132	72	0	18	10	8	15	14	41	
191	44	96	14	228	231	42	37	149	281	29	24	63	64	196	116	22	29	204	248	69	30	27	40	47	69	43	17	67	66	397	380	654	400	54	37	65	43	58	25	135	
45	18	28	10	95	83	22	10	56	215	30	33	15	51	78	37	8	10	56	113	14	25	8	15	13	9	44	14	22	24	66	26	132	72	0	18	10	8	15	14	41	
373	118	376	66	335	486	116	93	325	704	141	113	202	115	426	347	90	101	400	439	267	215	115	125	170	92	163	169	161	190	887	834	974	638	116	185	145	89	187	141	194	
6	0	1	1	4	2	2	1	4	7	2	5	0	1	3	37	0	0	4	6	5	6	0	0	4	0	2	1	0	0	18	17	18	16	1	1	3	0	3	2	1	
412	136	403	75	426	567	136	102	377	912	169	141	217	165	501	347	98	111	452	546	276	234	123	140	179	101	205	182	183	214	935	843	1088	694	115	202	152	97	199	153	234	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	4	0	1	4	0	1	0	6	0	0	0	2	3	0	0	0	1	0	1	2	0	0	0	0	1	4	1	2	7	3	1	4	0	2	1	0	0	1	0	
93	9	69	11	73	77	14	4	35	142	38	19	37	20	108	15	14	12	48	59	58	21	21	6	24	10	21	17	11	17	140	105	174	98	20	23	11	9	24	3	35	
7	5	16	4	26	55	20	10	24	73	13	19	20	8	41	5	4	14	32	42	20	8	10	4	9	8	14	11	5	16	60	54	82	28	7	11	9	13	20	9	23	
302	120	308	59	316	417	100	87	310	678	116	102	157	133	345	326	79	84	365	430	180	197	92	129	145	81	166	146	165	175	713	653	815	553	87	159	124	73	152	139	173	
2	1	1	0	3	2	0	0	2	4	1	0	2	1	3	1	0	1	1	3	9	4	0	0	0	0	0	2	1	0	5	9	3	4	0	4	2	1	1	1	2	
3	1	2	0	4	9	1	0	3	5	0	0	1	0	0	0	1	0	1	9	4	0	0	1	1	2	0	2	0	1	7	7	6	4	0	2	3	1	2	0	1	
1	0	2	0	0	0	1	0	0	3	1	0	0	1	1	0	0	0	0	2	2	1	0	0	0	0	2	0	0	0	2	6	6	1	1	0	0	0	0	0	0	
3	0	1	1	3	3	0	0	3	1	0	1	0	0	0	0	0	0	4	1	2	1	0	0	0	0	1	0	0	3	1	6	1	2	0	1	2	0	0	0	0	
