"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	
1671	454	1428	466	978	441	1270	770	743	1485	1425	1564	1495	1506	1724	669	863	1795	1402	1582	1401	1659	1221	203	1646	1567	1845	
1800	470	1500	546	950	490	1300	800	800	1500	1400	1650	1500	1600	1800	670	1000	1800	1450	1650	1400	1700	1200	260	1700	1800	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1095	313	935	254	602	354	805	469	466	1007	891	988	844	1000	1101	400	525	1097	957	1010	851	1055	789	176	1074	1098	1225	
50	19	24	62	21	0	25	14	13	31	16	36	56	50	34	10	37	23	40	28	27	66	32	4	16	58	42	
655	138	541	230	327	136	470	317	321	462	493	626	600	550	665	260	438	680	453	612	522	579	379	80	610	644	733	
50	19	24	62	21	0	25	14	13	31	16	36	56	50	34	10	37	23	40	28	27	66	32	4	16	58	42	
1095	313	935	254	601	354	805	469	466	1007	891	988	844	1000	1101	400	525	1097	957	1010	851	1055	789	176	1074	1098	1225	
13	3	10	3	9	2	17	11	8	12	20	19	11	14	19	5	11	19	23	12	16	13	5	1	19	24	17	
1132	329	949	313	613	352	813	472	471	1026	887	1005	889	1036	1116	405	551	1101	974	1026	862	1108	816	179	1071	1132	1250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	0	5	1	5	2	3	1	2	7	7	3	5	6	9	0	3	5	4	5	5	5	1	0	4	4	7	
157	35	131	33	78	65	132	82	88	161	167	174	155	157	194	66	79	125	122	151	97	126	110	8	152	184	169	
82	15	60	16	34	25	53	30	33	39	43	54	60	69	50	29	29	59	64	63	50	73	56	10	74	71	68	
847	266	725	258	475	247	600	351	335	784	648	746	643	776	834	297	424	878	759	778	683	881	630	156	812	847	978	
18	6	13	2	12	3	13	3	5	19	9	11	12	7	16	3	9	15	7	11	17	11	7	1	16	9	14	
6	2	8	1	5	3	6	2	4	7	9	7	6	11	5	5	1	10	7	6	5	4	6	1	5	11	7	
7	4	2	1	3	2	3	2	0	5	2	6	3	4	4	3	3	4	4	4	2	4	1	2	5	3	4	
5	1	5	1	1	5	3	1	4	4	2	4	5	6	4	2	3	5	7	8	3	4	5	1	3	3	3	
