"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	"УИК №1326"	"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	"УИК №1333"	"УИК №1334"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1341"	"УИК №1342"	"УИК №1343"	"УИК №1344"	"УИК №1345"	"УИК №1346"	"УИК №1347"	"УИК №1348"	"УИК №1349"	"УИК №1350"	"УИК №1351"	"УИК №1352"	
1483	2393	1809	1815	1717	2327	1676	1709	1385	1567	2186	2032	2576	1372	1629	1882	2509	1583	2161	1895	1877	1603	2164	999	1373	1775	1742	2055	1421	2311	1840	1551	1846	1223	297	2372	2781	2301	2120	2052	2114	2044	2109	1567	2045	1730	2066	1946	1929	2623	2546	2483	
1520	2410	1830	1860	1720	2410	1730	1680	1430	1560	2250	1870	2700	1410	1670	1930	2560	1590	2120	1940	1920	1600	2190	1030	1400	1830	1750	2120	1480	2360	1890	1600	1900	1260	270	2400	2830	2330	2170	2100	2210	2080	2170	1620	2070	1760	2110	2020	1970	2650	2620	2430	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
864	1458	1038	1077	770	1418	929	1043	818	881	1522	1457	1593	813	1024	1206	1592	1012	1382	1109	1053	1077	1519	648	945	1043	1107	1373	929	1494	1190	984	1223	799	199	1552	1853	1554	1418	1400	1416	1425	1437	1057	1423	1169	1411	1298	1312	1755	1826	1768	
36	34	15	58	51	68	45	30	22	64	31	35	61	43	36	47	63	40	58	56	40	25	35	28	31	59	16	27	46	45	34	29	16	25	16	67	39	28	15	8	27	41	48	34	21	22	22	36	35	39	23	28	
620	918	777	725	899	924	756	607	590	615	697	378	1046	554	610	677	905	538	680	775	827	498	636	354	424	728	627	720	505	821	666	587	661	436	55	781	938	748	737	692	767	614	685	529	626	569	677	686	623	856	771	634	
36	34	15	58	51	68	45	30	22	64	31	35	61	43	36	47	63	40	58	56	40	25	35	28	31	59	16	27	46	45	34	29	16	25	16	67	39	28	15	8	27	41	48	34	21	22	22	36	35	39	23	28	
864	1458	1038	1072	770	1418	929	1043	818	881	1522	1457	1593	811	1024	1206	1592	1012	1382	1109	1053	1077	1519	648	945	1043	1107	1373	929	1494	1190	984	1223	799	199	1552	1853	1554	1418	1400	1416	1425	1437	1057	1421	1169	1411	1298	1312	1753	1826	1766	
14	19	30	10	12	19	13	10	14	22	16	30	23	16	24	13	21	15	22	22	15	14	26	13	10	17	13	17	11	23	12	12	13	17	1	18	28	15	25	19	27	25	26	14	32	19	24	28	24	17	22	26	
886	1473	1023	1120	809	1467	961	1063	826	923	1537	1462	1631	838	1036	1240	1634	1037	1418	1143	1078	1088	1528	663	966	1085	1110	1383	964	1516	1212	1001	1226	807	214	1601	1864	1567	1408	1389	1416	1441	1459	1077	1410	1172	1409	1306	1323	1775	1827	1768	
