"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	"УИК №2213"	"УИК №2214"	"УИК №2215"	"УИК №2216"	"УИК №2217"	"УИК №2218"	"УИК №2219"	"УИК №2220"	"УИК №2221"	"УИК №2222"	"УИК №2223"	"УИК №2224"	"УИК №2225"	
311	238	310	177	97	171	79	309	745	376	98	158	101	274	648	243	233	332	188	544	177	506	218	586	191	
360	310	330	185	105	170	70	340	750	400	110	170	120	340	750	280	250	360	200	710	200	650	290	670	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
191	181	209	116	78	142	68	234	608	298	83	95	73	240	450	216	189	251	156	393	126	377	169	421	134	
98	40	25	29	11	18	1	51	57	39	10	33	22	18	72	17	23	48	19	108	20	82	20	90	24	
71	89	96	40	16	10	1	55	85	63	17	42	25	82	228	47	38	61	25	209	54	191	101	159	42	
98	40	25	29	11	18	1	51	57	39	10	33	22	18	72	17	23	48	19	108	20	82	20	90	24	
191	181	209	116	78	142	68	234	608	298	83	95	73	240	450	216	189	251	156	393	126	377	169	421	134	
5	5	1	2	0	1	0	3	7	6	2	1	1	4	23	5	1	10	0	8	1	5	2	10	2	
284	216	233	143	89	159	69	282	658	331	91	127	94	254	499	228	211	289	175	493	145	454	187	501	156	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	1	1	0	0	1	1	4	3	0	1	1	1	2	1	1	0	0	0	0	2	1	1	1	
20	13	30	5	3	4	8	30	69	61	11	14	9	29	36	13	10	21	10	53	4	53	26	67	19	
12	9	17	11	3	5	4	18	22	18	4	3	2	11	20	10	3	17	9	18	4	28	2	15	6	
247	190	180	124	82	145	56	230	550	245	74	106	82	204	434	203	196	251	151	408	136	367	153	408	125	
2	1	1	2	1	3	0	1	5	3	2	0	0	3	2	0	1	0	2	7	0	2	2	7	3	
0	1	3	0	0	1	0	2	2	1	0	3	0	2	3	0	0	0	0	4	1	0	2	3	1	
0	0	1	0	0	0	0	0	3	0	0	0	0	2	2	0	0	0	3	3	0	2	0	0	0	
1	1	0	0	0	1	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	
