"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	
1184	776	1722	1604	1326	1787	1813	1765	2024	1201	1263	1774	1280	688	
1000	701	1500	1400	1200	1500	1600	1550	1800	1000	1209	1600	1000	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
779	479	1084	985	845	1150	1195	1141	1335	742	986	1113	779	387	
13	51	46	59	61	50	61	26	57	25	12	30	79	39	
208	171	370	356	294	300	344	383	408	233	211	457	142	174	
13	51	46	59	61	50	61	26	57	25	12	30	79	39	
779	479	1084	985	845	1150	1195	1141	1335	742	986	1113	779	387	
45	11	23	17	8	17	28	13	16	8	22	15	17	9	
747	519	1107	1027	898	1183	1228	1154	1376	759	976	1128	841	417	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	1	1	2	1	4	3	4	2	3	1	2	0	
11	21	21	13	15	26	24	32	30	18	71	34	8	8	
16	19	22	16	24	19	26	21	23	21	38	31	11	7	
701	462	1032	986	839	1113	1143	1072	1275	701	848	1037	791	387	
14	8	19	3	10	9	18	11	30	12	10	16	20	11	
1	1	3	1	2	4	4	4	3	1	3	3	2	2	
1	1	2	1	1	4	3	3	2	1	2	4	1	1	
3	5	7	6	5	7	6	8	9	3	1	2	6	1	
