"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	
1799	1175	958	722	826	171	563	1982	313	617	169	1606	343	437	1489	1215	549	623	580	655	277	177	1215	1422	561	904	364	251	1838	374	765	232	1593	466	274	1278	317	998	1509	531	646	836	282	134	801	197	1303	1207	619	594	460	261	349	414	481	794	547	267	270	1321	1140	433	693	1023	399	663	239	121	801	1341	217	1219	349	628	120	
1600	1000	1300	650	650	160	460	1800	270	500	140	1360	300	360	1260	1050	470	500	470	550	230	150	1100	1200	450	800	300	210	1600	310	600	200	1400	400	240	1100	310	850	1250	440	510	720	230	120	700	170	1100	1000	500	500	400	210	310	350	420	700	450	220	220	1150	1000	380	690	860	340	600	200	110	770	1150	200	1050	300	590	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1067	715	935	521	555	100	393	1202	190	424	114	945	166	256	1074	791	386	396	390	496	165	110	1014	1043	369	595	278	146	1130	249	492	141	1239	311	165	760	257	694	835	303	327	651	201	101	611	165	930	908	398	393	333	175	282	294	324	556	364	192	191	1042	710	293	439	685	264	461	178	80	590	1039	159	931	221	431	89	
72	71	23	44	66	5	44	123	28	56	12	131	21	14	100	57	16	34	25	46	17	14	67	77	54	61	22	14	112	12	30	3	158	29	11	78	23	35	82	22	43	41	15	13	37	5	86	92	36	41	17	18	22	25	33	72	52	10	14	58	67	35	56	83	20	38	14	5	32	95	10	89	16	24	9	
461	214	342	85	29	55	23	475	52	20	14	284	113	90	86	202	68	70	55	8	48	26	19	80	27	144	0	50	358	49	78	56	3	60	64	262	30	121	333	115	140	28	14	6	52	0	84	0	66	66	50	17	6	31	63	72	34	18	15	50	223	52	195	92	56	101	8	25	148	16	31	30	63	135	2	
72	71	23	44	66	5	44	123	28	56	12	131	21	14	100	57	16	34	25	46	17	14	67	77	54	61	22	14	112	12	30	3	158	29	11	78	23	35	82	22	43	41	15	13	37	5	86	92	36	41	17	18	22	25	33	72	52	10	14	58	67	35	56	83	20	38	14	5	32	95	10	89	16	24	9	
1067	715	935	521	555	100	393	1200	190	424	114	945	166	256	1074	791	386	396	390	496	165	110	1014	1043	369	595	278	146	1130	249	492	141	1239	311	165	760	257	694	835	303	327	651	201	101	611	165	930	908	398	393	333	175	282	294	324	556	364	192	191	1042	710	293	439	685	264	461	178	80	590	1039	159	931	221	431	89	
17	9	14	6	9	2	8	29	1	5	2	27	9	5	6	7	0	5	4	5	1	0	0	12	11	16	3	3	23	2	5	0	7	6	0	18	2	18	12	4	11	5	0	0	10	4	19	15	8	1	4	2	4	2	9	4	4	2	3	0	2	0	6	15	2	8	1	0	5	8	0	0	2	8	0	
1122	777	944	559	612	103	429	1294	217	475	124	1049	178	265	1168	841	402	425	411	537	181	124	1081	1108	412	640	297	157	1219	259	517	144	1390	334	176	820	278	711	905	321	359	687	216	114	638	166	997	985	426	433	346	191	300	317	348	624	412	200	202	1100	775	328	489	753	282	491	191	85	617	1126	169	1020	235	447	98	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	5	1	1	3	0	1	4	3	3	0	1	0	1	0	0	1	0	0	0	1	0	2	2	4	0	1	0	4	1	0	0	3	1	0	0	1	3	1	2	1	1	0	1	3	1	1	1	2	1	2	0	0	2	4	2	2	1	0	2	1	2	1	6	0	1	1	1	3	0	0	1	0	0	0	
18	22	17	4	36	1	5	20	12	8	3	15	4	4	16	17	5	13	2	8	4	1	19	4	11	12	2	0	22	1	16	1	19	6	0	18	12	18	23	6	9	22	4	4	4	0	9	8	12	2	1	1	2	8	14	7	14	11	1	18	23	3	7	29	3	4	0	0	10	17	12	14	2	8	0	
15	11	13	10	27	4	9	11	2	2	1	19	1	2	13	19	3	7	5	5	3	1	5	12	10	5	5	1	14	4	22	1	10	3	3	10	12	6	7	4	4	8	3	1	6	2	20	15	4	1	1	0	2	5	2	9	2	4	4	9	10	3	6	3	4	6	2	0	8	6	0	14	1	14	1	
1039	710	902	536	526	95	402	1225	191	439	110	945	160	237	1114	788	378	391	393	506	166	118	1030	1060	357	591	277	153	1135	231	434	139	1340	316	173	774	239	655	838	297	307	632	195	107	614	160	951	945	392	426	333	189	286	288	321	591	373	180	184	1064	714	309	435	662	258	474	184	74	571	1087	152	957	221	403	96	
34	22	8	4	14	1	8	21	8	16	5	59	12	16	14	7	7	11	6	13	2	3	16	25	17	20	5	1	27	10	37	2	9	4	0	15	8	20	27	10	28	19	12	1	8	1	8	12	12	3	9	0	2	10	7	11	17	4	7	4	21	7	24	44	11	6	2	8	17	11	5	26	7	18	1	
4	2	2	1	0	2	0	2	0	1	0	2	1	1	1	2	1	0	0	1	0	0	0	1	4	2	0	1	2	3	0	1	2	1	0	0	1	1	3	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	2	0	0	1	0	2	3	2	0	0	1	1	0	2	0	1	0	0	0	
0	2	1	1	1	0	2	5	1	2	1	2	0	0	2	0	5	2	1	3	1	0	2	1	3	1	1	0	3	2	2	0	3	1	0	2	0	2	1	2	1	2	0	0	2	0	0	1	1	0	0	1	0	2	0	1	2	0	1	2	1	2	3	0	0	0	1	0	3	2	0	1	0	1	0	
6	3	0	2	5	0	2	6	0	4	4	6	0	4	8	8	2	1	4	1	4	1	7	3	6	9	6	1	12	7	6	0	4	2	0	1	5	6	5	0	8	3	2	0	0	1	7	3	2	0	0	0	8	1	0	2	0	0	5	0	5	0	10	7	6	0	0	1	5	1	0	6	4	3	0	
