"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	
1102	1301	1759	1922	1616	1422	1982	1785	1619	2144	1267	1380	2389	2199	2081	2468	1785	1781	1860	2237	2320	1968	1916	1780	1662	2223	2078	2470	1565	2064	2384	2103	1672	2074	2014	2182	1911	1681	1833	256	187	154	119	568	144	57	48	168	931	
950	1200	1450	1550	1350	1200	1750	1500	1350	1800	1100	1200	1950	1850	1750	2200	1500	1500	1550	1750	1850	1650	1650	1500	1400	1850	1750	2050	1350	1700	2000	1800	1350	1800	1700	1850	1650	1450	1550	250	250	154	150	568	200	100	50	168	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
696	1005	1177	1213	1090	997	1336	1195	1037	1585	908	951	1459	1516	1286	1706	1192	1149	1265	1452	1474	1367	1419	1230	1145	1614	1426	890	1088	1395	1842	1572	1185	1509	1506	1528	1461	1195	1279	231	179	154	119	559	143	52	47	167	931	
13	18	35	45	53	38	47	39	80	55	42	35	76	55	48	70	17	24	27	19	40	48	22	41	63	46	26	23	19	31	88	46	35	40	26	25	36	26	21	0	0	0	0	0	0	0	0	0	0	
241	177	238	292	207	165	367	266	233	160	150	214	415	279	416	424	291	327	258	279	336	235	209	229	192	190	298	1137	243	274	70	182	130	251	168	297	153	229	250	19	71	0	31	9	57	48	3	1	69	
13	18	35	45	53	38	47	39	80	55	42	35	76	55	48	70	17	24	27	19	40	48	22	41	63	46	26	23	19	31	88	46	35	40	26	25	36	26	21	0	0	0	0	0	0	0	0	0	0	
696	1005	1177	1213	1090	997	1336	1195	1037	1585	908	951	1459	1516	1286	1706	1192	1149	1265	1452	1474	1367	1419	1230	1145	1611	1426	890	1088	1395	1842	1572	1185	1509	1506	1528	1461	1195	1279	231	179	154	119	559	143	52	47	167	930	
3	6	6	4	15	6	10	8	6	9	4	8	14	3	12	8	18	14	17	9	8	14	22	6	6	13	12	12	5	16	18	1	14	10	15	10	18	9	14	0	2	4	5	17	4	0	1	4	64	
706	1017	1206	1254	1128	1029	1373	1226	1111	1631	946	978	1521	1568	1322	1768	1191	1159	1275	1462	1506	1401	1419	1265	1202	1644	1440	901	1102	1410	1912	1617	1206	1539	1517	1543	1479	1212	1286	231	177	150	114	542	139	52	46	163	866	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	1	3	2	3	5	1	1	2	2	3	4	2	1	1	2	0	5	2	0	4	3	2	2	1	0	2	0	3	8	1	1	1	3	4	5	2	3	3	0	0	0	7	0	0	0	0	1	
21	25	24	25	32	18	37	26	32	28	15	18	25	27	25	48	24	23	32	37	22	29	33	24	22	17	31	23	19	22	108	23	18	34	50	20	38	17	34	3	7	4	2	14	1	1	0	3	34	
16	28	22	22	26	22	24	13	13	35	15	12	34	39	15	31	17	21	46	30	25	28	15	23	14	36	23	15	13	17	89	19	36	26	38	26	35	12	21	9	6	8	6	32	3	4	1	5	104	
642	932	1129	1175	1042	959	1268	1164	1038	1522	902	924	1424	1467	1259	1654	1124	1101	1149	1352	1432	1319	1326	1194	1143	1547	1332	813	1050	1347	1685	1550	1132	1453	1393	1466	1363	1167	1198	210	158	130	101	471	128	45	42	141	610	
16	21	17	18	13	11	22	10	15	22	7	10	20	21	19	21	18	7	26	29	18	16	24	14	13	31	32	36	16	10	2	19	12	12	14	16	29	10	16	5	3	5	3	7	6	2	3	11	99	
1	3	2	1	7	4	5	1	1	2	0	5	2	3	1	1	2	3	0	3	0	1	3	2	0	2	4	3	1	3	8	0	0	2	2	3	3	0	1	0	0	0	0	4	0	0	0	0	4	
5	4	8	4	3	5	5	4	8	9	3	3	6	4	1	4	2	1	9	3	6	3	6	3	5	6	10	3	0	3	7	5	1	5	9	7	4	1	4	1	2	3	1	2	0	0	0	2	5	
3	2	3	6	3	7	7	7	3	11	2	3	6	5	1	8	2	3	8	6	3	1	9	3	3	4	8	6	3	5	5	0	6	6	8	1	2	3	9	0	1	0	1	5	1	0	0	1	9	
