"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №1237"	"УИК №1238"	"УИК №1239"	"УИК №1240"	"УИК №1241"	"УИК №1242"	
1447	1526	1586	2183	1486	747	503	388	361	702	486	266	363	157	1014	843	314	480	816	295	954	475	1302	432	1536	356	960	320	859	242	784	347	886	
1350	1450	1500	2000	1350	650	450	350	300	650	450	250	350	150	950	750	250	400	750	250	850	450	1200	350	1500	350	950	300	750	200	700	300	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1055	1047	1030	1147	1083	460	337	254	269	474	285	148	299	90	759	624	240	363	566	174	728	364	915	285	1118	214	751	234	553	150	636	212	546	
61	65	58	88	63	26	23	12	18	52	35	9	6	15	48	54	10	37	59	13	54	13	79	18	76	18	59	13	66	10	60	15	26	
234	338	412	765	204	164	90	84	13	124	130	93	45	45	143	72	0	0	125	63	68	73	206	47	306	118	140	53	131	40	4	73	228	
61	65	58	88	63	26	23	12	18	52	35	9	6	15	48	54	10	37	59	13	54	13	79	18	76	18	59	13	66	10	60	15	26	
1055	1047	1030	1147	1083	460	337	254	269	473	285	148	299	90	759	624	240	363	566	174	728	364	836	285	1118	214	751	234	553	150	636	212	546	
8	20	14	23	27	6	9	4	6	5	6	2	2	1	26	6	1	2	11	1	5	2	9	2	19	3	12	1	3	1	5	6	24	
1108	1092	1074	1212	1119	480	351	262	281	520	314	155	303	104	781	672	249	398	614	186	777	375	906	301	1175	229	798	246	616	159	691	221	548	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	1	6	3	0	0	0	1	0	0	0	1	1	2	3	5	1	1	0	1	1	1	1	3	2	4	2	0	1	0	2	0	
15	27	23	37	16	4	8	10	8	15	7	4	0	1	15	13	7	15	1	2	11	6	16	9	23	12	12	7	5	5	27	5	9	
13	12	13	10	11	14	4	3	1	9	6	2	2	2	12	9	4	7	11	4	14	2	10	2	14	3	9	4	6	1	3	4	12	
1045	1019	1019	1123	1028	454	322	241	256	482	289	145	281	99	716	624	225	366	587	171	736	353	852	282	1098	204	741	214	603	146	647	203	508	
22	22	13	9	47	5	11	6	10	11	10	3	13	0	24	16	7	6	12	7	12	10	19	7	27	8	18	17	2	4	10	5	12	
4	4	4	4	0	1	2	0	2	2	0	0	1	1	2	2	0	0	1	0	2	0	1	0	1	0	3	0	0	1	2	1	2	
3	5	1	9	3	2	1	0	1	1	1	0	3	0	5	1	1	2	1	0	0	1	2	0	1	0	0	0	0	0	1	0	1	
4	3	0	14	11	0	3	2	2	0	1	1	2	0	5	4	0	1	0	2	1	2	5	0	8	0	11	2	0	1	1	1	4	
