"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	
106	70	214	362	303	175	125	182	126	1545	249	75	233	105	571	79	49	290	170	156	66	196	57	99	417	370	245	80	31	47	176	48	106	290	
106	70	219	362	303	175	130	190	126	1585	249	75	233	105	571	79	49	290	170	156	66	198	57	99	420	374	248	80	31	48	176	50	107	290	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	69	210	355	297	173	122	179	124	1485	244	74	229	103	559	78	48	284	168	153	65	192	56	98	409	363	240	79	30	46	172	47	104	284	
0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	1	9	7	6	2	8	11	2	71	5	1	4	2	12	1	1	6	2	3	1	6	1	1	11	11	8	1	1	2	4	3	3	6	
0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	69	210	355	297	173	122	179	124	1485	244	74	229	103	559	78	48	284	168	153	65	192	56	98	409	363	240	79	30	46	172	47	104	284	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	69	210	355	297	173	122	179	124	1514	244	74	229	103	559	78	48	284	168	153	65	192	56	98	409	363	240	79	30	46	172	47	104	284	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	1	8	14	1	1	4	7	4	60	9	2	9	4	12	1	1	11	1	6	1	6	2	1	15	12	10	3	0	2	6	1	4	12	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100	68	202	341	296	172	118	172	120	1454	235	72	220	99	541	77	47	273	167	147	64	186	54	97	394	351	230	76	30	44	166	46	100	272	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
