"УИК №1049"	"УИК №1050"	"УИК №1051"	"УИК №1052"	"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	
2691	2143	1443	1718	1570	2024	1721	1897	1960	2786	1597	2142	1501	1613	1060	2005	2350	1208	1272	2020	1789	2004	1680	1326	2023	1593	2046	1989	1788	1651	1487	1547	1463	2069	2206	1780	2900	2139	1894	1777	1779	1649	1154	2950	2975	2219	2037	
2400	2050	1400	1500	1500	1950	1600	1750	1900	2750	1550	2050	1450	1550	1050	1800	2350	1150	1250	2000	1650	2000	1600	1700	1900	1550	2000	1950	1700	1600	1400	1500	1400	2000	2500	1700	2900	2050	2000	1700	1550	1450	1100	2850	2800	2000	1900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2398	1175	505	1208	1240	1939	1148	1056	1622	2710	1359	2029	1354	967	810	1765	2012	1119	1230	1952	1636	1935	1356	1305	1850	1128	1366	1434	1691	1561	1398	1455	702	1900	2165	1213	2813	1953	1800	1688	1123	943	900	1862	2792	1219	1188	
2	407	671	73	210	4	10	150	0	40	94	12	25	306	7	3	0	5	20	8	14	9	20	21	11	108	9	6	9	8	2	14	0	21	19	52	2	15	5	0	0	12	123	851	5	1	0	
0	468	224	219	50	7	442	544	278	0	87	9	71	277	233	30	338	26	0	40	0	56	224	374	39	314	625	510	0	31	0	31	698	79	316	435	85	82	195	12	427	495	77	137	3	780	712	
2	407	671	73	210	4	10	150	0	40	94	12	25	306	7	3	0	5	20	8	14	9	19	21	11	108	9	6	9	8	2	14	0	21	19	52	2	15	5	0	0	12	123	851	5	1	0	
2398	1175	505	1208	1240	1939	1138	1056	1622	2710	1359	2029	1354	967	809	1765	2012	1119	1230	1952	1636	1935	1357	1305	1850	1128	1357	1428	1691	1561	1398	1455	702	1900	2165	1213	2813	1953	1800	1688	1123	931	900	1862	2792	1219	1188	
0	19	9	25	0	0	9	9	6	0	18	0	15	28	21	27	26	0	105	0	0	0	19	17	0	11	26	26	0	0	0	0	11	0	0	3	2	1	0	0	6	10	18	0	0	24	9	
2400	1563	1167	1256	1450	1943	1139	1197	1616	2750	1435	2041	1364	1245	795	1741	1986	1124	1145	1960	1650	1944	1357	1309	1861	1225	1340	1408	1700	1569	1400	1469	691	1921	2184	1262	2813	1967	1805	1688	1117	933	1005	2713	2797	1196	1179	
0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	3	11	3	0	5	2	1	1	0	1	0	0	5	3	0	6	0	1	2	2	0	4	3	0	4	1	1	0	1	0	4	0	7	0	2	1	1	0	0	3	0	2	0	0	1	2	
100	272	112	237	101	80	253	204	214	82	222	61	175	206	167	263	280	56	79	48	110	97	302	272	130	278	354	353	109	64	42	118	157	115	87	99	65	137	131	100	298	226	80	59	84	296	262	
0	7	5	5	0	0	4	4	4	0	20	0	8	4	2	3	12	0	0	0	2	0	3	4	0	11	8	13	3	0	0	0	6	0	0	0	2	0	0	0	6	9	7	0	0	5	5	
2280	1255	1007	987	1334	1846	862	968	1387	2668	1164	1980	1162	994	597	1451	1641	1068	1053	1902	1524	1847	997	978	1712	906	953	990	1571	1491	1358	1337	517	1767	2097	1155	2729	1808	1666	1586	786	689	903	2631	2713	874	890	
0	13	16	12	0	0	11	11	5	0	16	0	14	21	20	13	25	0	0	0	2	0	34	33	0	13	10	22	2	0	0	0	8	0	0	1	12	1	3	0	8	4	6	0	0	12	13	
0	2	7	3	0	5	1	1	4	0	3	0	0	6	2	3	6	0	1	1	0	0	5	3	4	6	3	8	0	0	0	3	3	3	0	1	1	1	1	0	4	3	3	0	0	3	4	
20	2	3	1	7	5	2	3	1	0	3	0	2	3	1	4	5	0	11	4	8	0	1	3	15	1	3	14	12	10	0	7	0	19	0	1	3	18	3	2	5	1	1	23	0	2	1	
0	9	6	8	8	2	4	5	0	0	6	0	3	6	3	4	11	0	0	3	2	0	11	13	0	6	8	7	3	3	0	0	0	10	0	3	0	1	1	0	7	1	3	0	0	3	2	
