"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №1918"	"УИК №1924"	"УИК №1925"	"УИК №1926"	
2420	1149	488	540	198	225	234	99	38	2274	2220	878	822	48	1531	1835	783	1824	2070	1907	1570	2344	3218	1807	1049	1612	847	324	114	345	2255	318	541	416	453	179	190	289	319	590	389	213	2981	738	1974	3099	570	462	1870	157	213	156	184	694	908	2032	1553	819	697	561	408	1640	1728	3350	1475	2071	566	723	269	776	403	144	375	2084	1797	1492	3464	
2100	800	450	530	189	211	211	95	34	1700	1700	800	800	50	900	1200	650	1300	1900	1700	1300	1700	2370	1500	800	1300	800	300	108	340	1700	230	500	390	400	162	179	290	315	560	390	189	2000	500	1457	2000	470	390	1500	152	179	141	164	600	800	1300	1100	700	550	410	330	1300	1300	2400	1300	1600	500	600	280	750	370	144	360	1800	1200	1300	2700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1143	506	261	197	77	107	117	42	23	1334	1339	433	473	13	807	1109	421	541	1107	1034	828	1497	1819	1128	668	1102	427	166	58	164	1128	167	249	191	235	91	111	112	259	332	245	115	1449	311	1134	1967	366	291	884	105	128	97	107	374	542	1189	882	375	474	373	191	870	778	2189	723	1197	243	416	183	433	191	65	197	1185	918	700	1920	
134	48	31	5	9	11	6	1	0	20	40	11	20	4	24	41	4	13	23	10	102	10	32	14	20	16	22	15	1	17	55	9	12	25	11	2	8	106	0	23	19	17	25	182	32	21	14	4	58	6	20	5	0	5	10	18	5	28	0	24	29	22	8	31	25	39	13	20	0	5	20	11	19	15	23	7	18	
823	246	158	328	103	93	88	52	11	346	321	356	307	33	69	50	225	746	770	656	370	193	519	358	112	182	351	119	49	159	517	54	239	174	154	69	60	72	56	205	126	57	526	7	291	12	90	95	558	41	31	39	57	221	248	93	213	297	76	13	110	408	514	180	552	364	244	164	97	312	159	68	144	600	259	593	762	
134	48	31	5	9	11	6	1	0	20	40	11	20	4	24	41	4	13	23	10	102	10	32	14	20	16	22	15	1	17	55	9	12	25	11	2	8	106	0	23	19	17	25	182	32	21	14	4	58	6	20	5	0	5	10	18	5	28	0	24	29	22	8	31	25	39	13	20	0	5	20	11	19	15	23	7	18	
1143	506	261	197	77	107	117	42	23	1334	1339	433	473	13	807	1109	421	541	1107	1032	828	1497	1817	1128	668	1100	427	166	58	164	1128	167	249	191	235	91	111	112	259	332	245	115	1449	311	1134	1967	366	291	884	105	128	97	107	374	542	1189	882	375	474	373	191	870	778	2189	723	1197	243	416	183	433	191	65	197	1185	917	700	1920	
12	5	3	1	0	0	0	0	0	17	10	3	3	0	9	4	1	6	10	12	37	7	23	12	1	14	4	1	0	2	9	2	4	4	1	1	1	2	4	6	0	3	12	2	13	17	0	2	9	0	1	0	1	6	7	10	5	4	2	6	1	12	15	31	6	12	2	5	3	3	1	0	2	11	5	4	11	
1265	549	289	201	86	118	123	43	23	1337	1369	441	490	17	822	1146	424	548	1120	1030	893	1500	1826	1130	687	1102	445	180	59	179	1174	174	257	212	245	92	118	216	255	349	264	129	1462	491	1153	1971	380	293	933	111	147	102	106	373	545	1197	882	399	472	391	219	880	771	2189	742	1224	254	431	180	435	210	76	214	1189	935	703	1927	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	0	3	2	0	0	0	0	0	6	9	3	3	0	5	1	3	2	5	4	5	10	8	7	1	7	4	0	0	1	4	0	2	1	2	0	0	0	1	5	2	2	8	4	5	6	3	1	4	0	0	1	0	2	3	7	4	0	2	4	0	7	4	8	3	3	0	1	2	3	0	2	2	4	7	4	9	
189	60	21	32	19	8	10	1	2	280	195	106	71	0	121	183	89	133	193	200	165	330	333	253	135	245	68	12	0	41	186	22	26	37	31	15	4	28	39	49	13	7	279	31	166	406	46	47	171	8	12	12	9	48	114	265	216	57	96	51	36	97	140	389	106	197	54	60	23	80	20	3	37	213	185	137	419	
57	36	10	15	7	9	6	5	2	60	73	26	26	0	89	66	20	30	58	53	51	70	99	50	31	40	19	8	11	9	70	13	23	14	12	6	12	28	20	23	29	4	64	28	56	111	22	19	59	9	17	6	10	17	29	61	59	32	21	18	13	50	64	147	38	66	11	23	12	26	11	0	15	52	49	28	89	
976	439	250	151	60	100	105	36	19	955	1075	291	371	17	590	867	303	364	835	746	638	1013	1312	752	481	752	350	160	47	127	892	136	204	156	195	69	99	153	186	263	219	115	1070	416	885	1408	290	217	673	93	117	82	84	299	388	830	579	304	330	302	165	698	552	1589	586	932	180	333	139	316	177	71	157	850	667	503	1326	
12	2	1	0	0	1	1	0	0	15	8	5	7	0	9	12	1	9	16	9	12	48	33	29	16	19	1	0	1	0	8	2	1	3	2	0	1	4	6	2	0	1	18	7	26	18	13	1	8	1	0	1	1	4	1	21	12	3	13	8	3	14	4	24	0	8	2	8	3	2	0	0	3	26	15	16	45	
4	3	1	0	0	0	1	1	0	6	3	5	5	0	4	5	0	4	5	3	7	8	10	1	1	6	2	0	0	1	4	0	0	1	0	0	1	1	0	2	0	0	14	2	6	6	3	1	2	0	1	0	2	2	1	0	3	2	3	2	0	2	2	9	2	6	5	2	0	0	1	0	0	5	2	1	10	
6	2	2	1	0	0	0	0	0	2	4	1	3	0	2	5	6	4	4	6	3	9	18	15	7	11	0	0	0	0	4	0	0	0	3	0	1	0	2	5	0	0	5	1	4	8	1	5	10	0	0	0	0	0	3	8	3	0	3	1	0	7	3	8	5	7	0	3	0	2	0	0	0	16	4	5	11	
5	7	1	0	0	0	0	0	0	13	2	4	4	0	2	7	2	2	4	9	12	12	13	23	15	22	1	0	0	0	6	1	1	0	0	2	0	2	1	0	1	0	4	2	5	8	2	2	6	0	0	0	0	1	6	5	6	1	4	5	2	5	2	15	2	5	2	1	1	6	1	0	0	23	6	9	18	
