"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	
335	175	78	189	212	322	344	134	668	243	81	678	126	118	589	90	46	707	341	562	222	500	46	277	126	463	140	149	940	1035	553	683	408	
341	190	89	195	234	356	361	137	705	254	82	711	129	121	603	96	47	764	348	624	225	533	33	291	124	493	156	155	926	1091	575	694	404	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
177	115	55	125	143	208	192	89	385	142	70	396	93	72	347	56	34	482	244	315	151	305	26	152	50	275	94	93	457	526	319	355	210	
18	14	10	9	11	38	13	13	70	19	3	34	5	3	30	2	2	24	19	33	5	17	2	13	22	35	9	12	35	14	27	10	20	
146	61	24	61	80	110	156	35	250	93	9	281	31	46	226	38	11	258	85	276	69	211	5	126	52	183	53	50	434	551	229	329	174	
18	14	10	9	11	38	13	13	70	19	3	34	5	3	30	2	2	24	19	33	5	17	2	13	22	35	9	12	35	14	27	10	20	
177	115	55	125	143	208	192	89	385	142	70	396	93	72	347	56	34	482	244	315	151	305	26	152	50	275	94	93	457	526	319	355	210	
0	0	1	1	1	2	2	0	0	2	0	5	1	0	4	0	0	5	2	0	2	3	0	2	0	3	0	1	7	6	1	6	2	
195	129	64	133	153	244	203	102	455	159	73	425	97	75	373	58	36	501	261	348	154	319	28	163	72	307	103	104	485	534	345	359	228	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	2	0	0	1	1	0	0	0	1	2	0	4	4	0	3	2	
30	23	2	10	9	21	22	5	52	4	0	21	3	3	13	4	4	51	5	34	6	62	2	8	2	46	6	6	92	113	65	75	44	
15	1	2	3	1	7	2	3	31	6	5	18	3	3	26	10	0	5	21	6	3	18	0	3	4	20	5	3	22	28	11	11	22	
148	98	58	115	143	209	171	92	362	147	65	379	91	64	328	44	32	433	229	295	138	228	25	152	66	235	87	94	354	375	261	259	158	
2	0	2	4	0	4	5	2	4	1	1	2	0	3	2	0	0	4	3	8	3	3	1	0	0	1	2	1	7	7	2	6	1	
0	4	0	0	0	3	0	0	5	0	0	2	0	1	0	0	0	4	2	3	3	5	0	0	0	2	0	0	1	2	1	2	0	
0	1	0	1	0	0	1	0	0	0	2	1	0	1	0	0	0	0	1	0	0	1	0	0	0	2	1	0	2	1	0	0	0	
0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	2	0	2	0	1	0	0	0	0	0	0	3	4	5	3	1	
