"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	
339	332	92	178	54	346	96	113	387	429	386	469	484	470	438	136	140	313	220	354	122	351	469	267	155	
364	348	85	197	50	342	93	102	385	424	409	472	496	472	447	125	160	317	203	415	122	335	429	246	162	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	
181	171	26	125	39	197	60	51	211	245	216	267	260	258	216	86	75	165	139	188	34	152	237	157	74	
26	15	29	12	4	18	8	27	23	18	18	8	20	10	9	16	25	40	4	23	26	23	41	15	22	
157	162	30	60	7	127	25	24	151	161	175	197	216	204	222	23	60	112	60	193	62	160	151	74	66	
26	15	29	12	4	18	8	27	23	18	18	8	20	10	9	16	25	40	4	34	26	23	41	15	22	
181	171	26	125	39	197	60	51	211	245	216	267	260	258	216	86	75	165	139	188	34	152	237	157	74	
3	3	1	0	1	5	0	0	3	5	0	5	4	4	0	0	0	0	2	0	1	4	4	1	0	
204	183	54	137	42	210	68	78	231	258	234	270	276	264	225	102	100	205	141	222	59	171	274	171	96	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	0	1	0	0	0	0	1	0	2	1	1	0	0	1	0	0	1	0	3	4	2	0	
33	19	1	16	12	25	5	4	39	44	42	47	52	44	33	6	2	47	33	13	8	21	51	23	28	
14	21	7	5	5	20	0	0	3	7	9	12	3	15	3	1	2	2	10	1	0	15	20	11	2	
151	139	44	109	24	162	60	73	185	198	172	203	214	198	187	92	93	154	92	207	50	127	195	130	57	
1	2	0	4	0	3	0	0	4	5	7	2	2	4	0	2	2	0	2	0	1	1	3	3	1	
1	0	1	1	0	0	2	1	0	3	0	1	1	1	1	0	0	0	1	0	0	1	0	0	4	
0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	2	1	
3	0	0	2	0	0	0	0	0	0	3	2	3	0	1	0	0	1	2	0	0	3	0	0	3	
