"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	
2149	1287	1145	2509	1327	1476	2371	1103	1687	1270	1659	1419	2269	2550	1768	1621	
1500	1000	900	1800	1000	1100	1800	1000	1300	1000	1200	1200	1700	1900	1700	1600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1294	657	534	1364	613	670	1227	765	860	703	870	910	1441	1603	1200	1199	
120	47	83	53	107	52	90	29	61	66	53	137	33	56	15	2	
86	296	283	383	280	378	483	206	379	231	277	153	226	241	485	399	
120	47	83	53	107	52	90	29	61	66	53	137	33	56	15	2	
1294	657	534	1364	613	670	1227	765	860	703	870	910	1439	1603	1200	1199	
19	10	3	14	16	9	15	8	13	9	12	11	18	25	15	13	
1395	694	614	1403	704	713	1302	786	908	760	911	1036	1454	1634	1200	1188	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	8	3	4	8	10	14	10	9	6	10	7	14	22	9	3	
239	129	108	283	125	140	251	125	141	161	183	113	197	261	185	169	
124	54	52	103	51	57	86	69	77	53	61	88	125	144	103	126	
978	478	437	959	494	484	905	543	656	510	638	744	1051	1142	809	849	
27	7	5	23	10	10	14	24	7	14	10	44	34	34	50	24	
4	7	2	15	7	2	11	0	7	9	5	15	10	13	14	4	
11	7	4	13	3	7	11	9	4	4	3	9	7	7	15	9	
7	4	3	3	6	3	10	6	7	3	1	16	16	11	15	4	
