"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №778"	
1556	1462	1950	2102	1131	1504	1888	1504	1424	1385	1432	1581	1216	1669	1652	1838	1635	1149	432	674	403	496	458	389	525	330	490	319	533	282	244	
1500	1300	2000	2000	1000	1300	1700	1500	1500	1200	1300	1500	1000	1500	1500	1700	1500	1000	400	700	400	500	450	400	500	300	450	300	550	300	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
653	651	1033	1070	548	780	1065	763	711	615	672	925	723	837	809	930	842	496	216	338	155	356	245	132	224	49	356	251	215	128	104	
105	125	65	49	53	52	55	64	58	33	47	50	35	93	92	68	48	80	20	118	127	42	134	85	101	194	18	12	128	62	49	
742	524	902	881	399	468	580	673	731	552	581	525	242	570	599	702	610	424	164	244	118	102	71	183	175	57	76	37	207	110	97	
105	125	65	49	53	52	55	64	58	33	47	50	35	93	92	68	48	80	20	118	127	42	134	85	101	194	18	12	128	62	49	
653	651	1033	1070	548	780	1065	763	711	615	672	925	723	837	809	930	842	496	216	338	155	356	245	132	224	49	356	251	215	128	104	
3	9	17	16	8	12	17	11	4	7	7	8	11	5	13	8	8	2	2	4	0	3	4	0	4	1	4	1	7	2	2	
755	767	1081	1103	593	820	1103	816	765	641	712	967	747	925	888	990	882	574	234	452	282	395	375	217	321	242	370	262	336	188	151	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	7	11	8	0	4	10	8	3	7	5	4	7	6	6	10	4	2	2	3	2	1	1	1	2	0	4	1	6	2	2	
112	126	180	186	93	132	182	127	107	102	82	160	116	139	124	137	127	67	37	64	46	53	51	15	47	21	61	45	42	33	18	
71	75	96	88	48	63	96	72	71	63	47	69	63	73	60	78	84	62	21	35	24	39	16	12	23	17	46	26	29	13	16	
546	543	751	782	439	597	772	591	564	450	560	704	529	682	668	731	638	418	167	346	207	293	303	179	238	198	251	183	241	134	108	
10	7	19	12	4	11	13	8	9	9	5	11	16	10	9	7	10	7	2	0	0	3	0	5	4	3	2	0	6	1	5	
5	3	3	10	0	4	11	6	3	3	3	8	5	5	10	12	8	9	3	2	1	1	0	2	3	3	2	4	6	2	2	
6	4	7	7	4	7	8	3	6	5	5	6	6	5	6	6	5	3	0	1	1	1	0	2	3	0	2	1	1	3	0	
2	2	14	10	5	2	11	1	2	2	5	5	5	5	5	9	6	6	2	1	1	4	4	1	1	0	2	2	5	0	0	
