"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	
710	741	659	638	679	958	574	943	451	401	435	705	308	
687	744	667	672	680	965	580	948	456	405	415	710	308	
0	0	0	0	0	0	0	0	0	0	0	0	0	
621	671	597	601	577	666	516	827	417	374	399	647	287	
21	12	18	11	28	110	13	32	9	5	14	0	0	
45	61	52	60	75	189	51	89	30	26	2	63	21	
21	12	18	11	28	110	13	32	9	5	14	0	0	
621	671	597	601	577	666	516	827	417	374	399	647	287	
0	0	3	0	0	11	0	0	0	0	0	0	0	
642	683	612	612	605	765	529	859	426	379	413	647	287	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

1	4	2	4	0	7	1	6	1	4	0	0	0	
4	3	1	3	19	76	3	3	3	2	3	5	2	
3	2	2	2	2	9	3	7	3	6	4	1	2	
625	667	602	599	573	640	521	828	416	361	404	639	278	
7	3	0	1	9	17	1	3	1	4	1	2	2	
1	1	1	1	0	10	0	5	0	2	0	0	2	
1	2	2	1	1	3	0	3	1	0	1	0	1	
0	1	2	1	1	3	0	4	1	0	0	0	0	
