"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	
679	180	747	201	245	209	621	853	296	2587	173	143	457	581	1169	486	306	
650	200	750	210	250	210	550	850	325	2500	190	150	475	550	1150	490	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
467	139	500	151	130	173	456	593	233	1751	92	106	295	316	760	274	269	
156	24	154	32	90	33	85	122	50	258	49	29	106	137	133	135	22	
27	37	96	27	30	4	9	135	42	491	49	15	74	97	257	81	9	
156	24	154	32	90	33	85	122	50	258	49	29	106	137	133	135	22	
467	139	500	151	130	173	456	593	233	1745	92	106	295	316	760	274	269	
6	1	13	2	1	2	1	10	1	19	2	1	4	2	6	5	3	
617	162	641	181	219	204	540	705	282	1984	139	134	397	451	887	404	288	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	0	0	0	1	0	3	6	2	16	0	1	3	6	5	0	3	
45	11	37	16	16	26	41	57	19	181	12	6	33	26	67	39	35	
34	5	48	9	23	11	45	57	17	156	6	8	30	28	99	41	28	
519	142	543	149	178	164	443	567	240	1592	114	113	321	388	696	315	219	
3	1	3	2	0	0	4	5	1	22	3	3	6	1	8	1	0	
2	0	10	0	0	1	2	3	0	12	2	1	0	1	5	5	1	
3	1	0	2	1	0	2	5	2	1	2	1	2	0	2	3	2	
3	2	0	3	0	2	0	5	1	4	0	1	2	1	5	0	0	
