"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	
829	64	1095	612	785	1284	1816	1021	168	
865	90	955	565	650	1335	1830	1140	170	
3	0	0	0	0	89	0	11	0	
542	57	561	307	356	1113	1238	569	112	
134	3	182	116	132	43	103	116	36	
186	30	212	142	162	90	489	444	22	
137	3	182	116	132	132	103	127	36	
542	57	561	307	356	1113	1236	568	112	
18	2	17	11	16	13	24	11	3	
661	58	726	412	472	1232	1315	684	145	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

9	0	3	1	6	2	8	7	0	
96	7	153	78	86	200	236	141	13	
54	8	100	53	53	112	145	78	19	
487	42	447	272	316	869	888	442	106	
3	0	8	3	1	29	19	7	4	
6	1	6	1	5	7	11	5	2	
4	0	7	4	3	8	8	2	1	
2	0	2	0	2	5	0	2	0	
