"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	
195	1328	1491	1567	1470	925	2325	843	550	2522	671	1340	983	940	855	729	387	
188	1224	1428	1477	1303	788	1993	817	544	2427	634	1261	1015	958	826	726	390	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
167	1212	1398	1456	1253	615	1975	581	543	2285	617	1229	910	763	792	666	357	
1	12	14	9	19	63	18	39	1	101	15	31	0	27	13	28	0	
20	0	16	12	31	110	0	197	0	41	2	1	105	168	21	32	33	
1	12	14	6	19	63	18	39	1	101	15	31	0	27	13	28	0	
167	1212	1398	1456	1253	615	1975	581	543	2285	617	1229	910	763	792	666	357	
0	0	0	0	8	0	0	15	0	25	0	0	12	11	0	0	6	
168	1224	1412	1462	1264	678	1993	605	544	2361	632	1260	898	779	805	694	351	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	3	3	5	2	4	0	1	5	4	3	5	5	2	1	2	
9	31	74	46	70	41	104	78	18	124	78	66	53	43	42	32	12	
8	16	38	60	16	36	81	8	22	96	8	51	9	7	33	28	8	
146	1133	1294	1331	1129	573	1773	503	490	2130	521	1121	818	715	714	610	316	
0	24	1	1	22	2	2	11	7	2	17	1	4	6	3	4	3	
4	16	0	19	7	19	25	1	6	0	2	16	5	1	10	15	3	
0	1	1	1	7	2	2	1	0	2	0	1	2	1	1	2	2	
0	0	1	1	8	3	2	3	0	2	2	1	2	1	0	2	5	
