"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	
1068	1265	655	639	2551	802	907	987	682	1173	1189	1107	611	199	550	55	333	393	115	1325	748	459	
1090	1220	610	460	2580	600	900	980	670	1160	1160	1100	600	190	550	65	370	410	110	1500	760	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
447	778	282	321	2133	548	423	435	355	654	734	594	329	105	291	37	188	230	71	706	365	218	
49	17	13	76	89	6	17	39	17	36	23	22	12	12	28	6	7	18	5	48	53	16	
594	425	315	63	358	46	460	506	298	470	403	484	259	73	231	22	175	162	34	746	342	216	
49	17	13	76	89	6	17	39	17	36	23	22	12	12	28	6	7	18	5	48	53	16	
447	778	282	321	2133	548	423	435	355	654	734	594	329	105	291	37	188	230	71	706	365	218	
13	19	7	8	31	8	6	6	13	20	23	11	5	1	3	3	4	2	1	11	6	4	
483	776	288	389	2191	546	434	468	359	670	734	605	336	116	316	40	191	246	75	743	412	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	1	1	7	3	4	3	2	4	9	6	1	1	4	1	3	1	0	5	4	3	
81	132	33	75	223	95	91	77	67	117	133	105	42	11	87	6	18	19	5	114	65	47	
83	84	32	39	258	53	49	65	39	63	60	72	40	5	40	7	31	35	8	72	37	28	
308	531	215	262	1589	384	282	303	235	468	501	405	241	99	177	26	136	185	61	540	294	147	
6	10	4	5	70	5	1	8	4	4	7	5	4	0	2	0	2	3	0	2	3	2	
2	7	1	2	6	4	1	3	5	5	10	3	3	0	0	0	1	0	0	8	3	2	
1	7	1	2	20	2	2	3	3	2	8	5	3	0	2	0	0	2	0	1	5	0	
1	3	1	3	18	0	4	6	4	7	6	4	2	0	4	0	0	1	1	1	1	1	
