"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	
402	198	128	1089	169	203	1028	318	180	1814	928	829	89	408	125	173	180	133	502	959	719	886	554	92	809	498	95	
409	219	137	1126	184	207	1065	303	192	1888	960	851	84	447	167	185	218	136	510	990	746	918	576	99	833	513	106	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
232	146	100	610	116	148	577	222	131	1250	616	569	61	278	89	113	135	102	325	721	432	593	314	72	557	320	62	
64	5	6	111	13	12	51	15	10	37	35	96	4	33	13	18	9	8	26	50	42	39	50	1	42	56	0	
113	68	31	405	55	47	437	66	51	601	309	186	19	136	65	54	74	26	159	219	272	286	212	26	234	137	44	
64	5	6	111	13	12	51	15	10	37	35	96	4	33	13	18	9	8	26	50	42	39	50	1	42	56	0	
232	146	100	610	116	148	577	222	131	1250	616	569	61	278	89	113	135	102	325	721	432	593	314	72	557	320	62	
2	0	3	9	1	1	12	9	2	12	4	5	0	20	1	1	1	0	1	14	11	4	7	0	4	3	1	
294	151	103	712	128	159	616	228	139	1275	647	660	65	291	101	130	143	110	350	757	463	628	357	73	595	373	61	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	0	3	2	0	0	3	0	1	6	8	3	0	1	0	0	0	0	2	1	2	4	1	0	2	2	0	
47	9	5	127	24	10	88	23	7	309	161	123	13	37	12	17	17	11	59	120	87	165	55	4	154	45	10	
9	1	5	40	0	3	46	15	2	66	60	51	9	18	8	4	2	5	30	78	42	57	25	4	61	43	6	
229	139	89	526	101	143	469	184	126	868	410	463	42	223	81	105	123	89	253	549	326	389	272	65	365	279	43	
2	0	0	6	2	3	2	3	3	9	6	4	0	10	0	2	0	5	5	4	2	4	2	0	2	3	0	
2	1	1	4	0	0	6	1	0	11	2	10	0	1	0	2	1	0	1	4	2	4	1	0	4	1	2	
0	0	0	2	0	0	1	2	0	3	0	1	1	0	0	0	0	0	0	1	2	3	1	0	6	0	0	
1	1	0	5	1	0	1	0	0	3	0	5	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	
