"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	
2485	1336	1176	1781	1614	175	285	224	1073	1103	1044	1166	958	686	608	219	213	278	154	351	174	523	440	812	231	887	218	
2530	1355	1160	1820	1660	170	292	232	1110	1160	1095	1200	995	745	645	241	252	338	180	396	190	565	435	840	230	935	238	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1334	740	719	931	887	123	185	127	675	688	543	666	471	353	267	125	89	177	93	167	70	292	230	396	102	522	130	
78	105	57	78	82	17	14	8	54	93	84	72	56	52	81	20	42	44	12	50	5	36	16	39	22	26	18	
1118	510	384	811	691	30	93	97	381	379	468	462	468	340	297	96	121	117	75	179	115	237	189	405	106	387	90	
78	105	57	78	82	17	14	8	54	93	84	72	56	52	81	20	42	44	12	50	5	36	16	39	22	26	18	
1333	739	719	931	886	123	185	127	675	688	543	666	471	353	267	125	89	177	93	167	70	292	230	396	102	522	130	
13	13	5	16	11	0	4	0	18	20	20	18	18	5	3	0	2	2	0	2	0	2	6	7	1	25	4	
1398	831	771	993	957	140	195	135	711	761	607	720	509	400	345	145	129	219	105	215	75	326	240	428	123	523	144	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

23	15	16	8	5	0	4	3	9	6	3	5	8	4	2	4	0	0	1	2	0	2	0	2	0	2	0	
220	133	163	171	181	20	19	16	85	100	93	99	76	42	55	6	7	6	8	25	1	29	11	29	19	34	6	
147	77	64	134	149	30	24	24	111	115	91	80	64	47	35	14	8	53	15	20	6	43	31	46	17	81	33	
942	570	492	642	592	86	145	91	490	508	395	510	354	296	245	118	106	157	78	160	68	237	193	342	83	381	102	
23	3	8	13	8	0	0	1	3	9	9	8	0	2	1	0	6	1	0	1	0	5	3	6	1	9	2	
15	17	9	11	6	1	0	0	10	9	5	5	2	2	2	2	2	1	1	4	0	10	2	2	2	5	1	
9	5	8	5	10	3	3	0	2	10	7	10	4	4	3	1	0	0	2	1	0	0	0	0	0	3	0	
19	11	11	9	6	0	0	0	1	4	4	3	1	3	2	0	0	1	0	2	0	0	0	1	1	8	0	
