"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	
942	260	665	1723	930	378	2662	227	1042	1893	961	163	400	738	1380	1042	1189	605	720	302	
962	286	730	1655	984	407	2556	183	1056	1898	1023	146	469	852	1354	1071	1232	589	724	305	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
623	178	464	816	478	231	1516	149	609	1078	391	106	278	467	760	555	685	385	476	300	
136	45	87	155	119	36	63	11	96	90	39	5	41	145	54	79	66	6	56	0	
203	63	179	684	387	140	977	23	351	730	593	35	150	240	540	437	481	198	192	5	
136	45	87	155	119	36	63	11	96	90	39	5	41	145	54	79	66	6	56	0	
623	178	464	816	478	231	1516	149	609	1078	391	106	278	467	760	555	685	385	476	300	
10	0	4	11	13	0	12	2	8	12	4	1	1	7	13	11	11	6	4	1	
749	223	547	960	584	267	1567	158	697	1156	426	110	318	605	801	623	740	385	528	299	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	3	5	9	8	0	18	2	2	13	5	1	3	9	4	3	7	4	3	0	
75	13	59	107	77	19	184	11	44	122	66	13	24	66	124	71	77	59	44	32	
49	11	44	84	76	10	132	19	48	129	50	23	23	65	57	60	90	48	24	24	
603	185	424	715	406	227	1167	120	583	862	282	69	261	454	591	464	538	256	444	236	
3	6	0	18	7	6	25	3	6	15	6	2	4	3	12	11	12	4	5	2	
4	0	4	5	4	3	12	3	12	5	7	2	2	3	3	8	9	6	4	1	
3	3	4	15	4	2	16	0	2	3	5	0	1	3	6	4	3	4	2	1	
3	2	7	7	2	0	13	0	0	7	5	0	0	2	4	2	4	4	2	3	
