"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	
1189	672	888	950	227	272	350	355	46	64	190	174	151	665	354	102	107	151	896	
1200	700	850	950	230	280	360	350	60	60	200	190	230	710	370	110	110	150	950	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
651	368	463	522	138	129	148	157	31	41	119	89	84	384	223	82	91	105	508	
72	70	107	67	17	65	112	98	7	9	40	21	23	73	38	3	0	12	132	
477	262	280	361	75	86	100	95	22	10	41	80	123	253	109	25	19	33	310	
72	70	107	67	17	65	112	98	7	9	40	21	23	73	38	3	0	12	132	
651	367	462	522	138	129	148	157	31	41	119	89	84	384	223	82	91	105	508	
11	2	4	7	1	2	0	0	0	0	0	0	0	14	1	0	0	0	7	
712	435	565	582	154	192	260	255	38	50	159	110	107	443	260	85	91	117	633	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	6	1	0	2	1	4	1	0	0	1	0	3	0	0	0	0	7	
150	82	121	145	31	34	20	43	5	2	22	10	6	51	34	13	12	5	67	
75	46	46	50	12	21	22	29	6	6	14	14	10	47	61	11	4	6	87	
467	288	381	364	110	128	211	170	23	42	121	80	81	323	155	59	74	105	446	
2	8	4	8	1	2	5	1	1	0	1	0	2	9	5	1	0	0	7	
10	3	4	6	0	1	1	4	1	0	1	5	7	6	2	0	0	0	8	
0	4	3	4	0	1	0	1	1	0	0	0	0	4	1	0	0	1	5	
3	0	0	4	0	3	0	3	0	0	0	0	1	0	2	1	1	0	6	
