"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	
1301	2261	2162	1730	1692	2034	1379	2155	1961	2006	2105	1955	2224	2340	2385	1082	1079	1621	1251	1425	2154	2116	191	107	
1100	2000	2000	1500	1500	1800	1200	1900	1800	1800	2000	1700	2000	2100	2100	900	900	1200	1100	1200	1600	1600	250	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
882	1538	1497	1077	1141	1429	862	1453	1301	1379	1342	1243	1453	1442	1343	712	601	903	762	788	1188	1091	81	104	
9	25	17	24	21	13	23	23	21	23	44	32	44	43	31	12	11	18	29	41	91	22	96	0	
209	437	486	399	338	358	315	424	478	398	614	425	503	615	726	176	288	279	309	371	321	487	73	46	
9	25	17	24	21	13	23	23	21	23	44	32	44	43	31	12	11	18	29	41	91	22	96	0	
882	1538	1497	1077	1141	1429	862	1453	1301	1378	1342	1243	1453	1442	1343	712	601	902	762	788	1188	1091	81	104	
4	14	12	18	16	18	5	23	10	13	11	11	19	20	14	12	1	9	4	10	22	26	3	2	
887	1549	1502	1083	1146	1424	880	1453	1312	1388	1375	1264	1478	1465	1360	712	611	911	787	819	1257	1087	174	102	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	11	15	7	7	12	5	9	10	12	5	5	9	13	12	5	7	9	3	14	16	5	0	0	
124	215	180	131	138	197	98	155	171	141	144	133	161	139	144	77	64	91	66	67	149	98	12	5	
65	121	128	85	119	119	97	138	123	122	122	111	143	156	182	72	65	108	81	120	143	155	21	12	
633	1096	1105	802	832	1023	639	1069	940	1049	1038	942	1084	1073	958	518	447	653	609	586	888	783	135	75	
25	48	31	27	24	30	12	29	23	30	27	31	35	43	29	16	13	17	11	15	33	27	3	3	
8	20	8	9	6	17	10	15	8	11	11	14	15	6	13	10	3	13	6	3	8	6	0	3	
11	22	19	12	7	15	8	19	15	12	15	10	14	20	11	3	7	12	4	10	11	7	1	3	
14	16	16	10	13	11	11	19	22	11	13	18	17	15	11	11	5	8	7	4	9	6	2	1	
