"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	
1127	956	647	371	293	115	169	205	139	101	237	876	126	198	
1100	1000	650	350	300	110	150	200	130	100	250	900	120	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
679	497	372	112	163	57	101	102	85	70	105	335	73	82	
54	45	35	72	23	3	11	29	9	5	36	146	10	49	
367	458	243	166	114	50	38	69	36	25	109	419	37	69	
54	45	35	72	23	3	11	29	9	5	36	146	10	49	
679	497	372	112	163	57	101	102	85	70	105	335	73	82	
8	8	7	0	1	1	0	0	0	0	0	2	0	1	
725	534	400	184	185	59	112	131	94	75	141	479	83	130	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	3	1	2	0	1	2	0	0	0	8	1	1	
166	132	74	39	48	6	12	9	18	11	26	82	7	17	
72	69	55	23	26	4	16	17	14	11	16	50	7	10	
465	318	257	118	104	48	82	101	58	53	94	335	66	100	
10	2	3	2	4	0	1	0	3	0	1	0	1	0	
2	2	3	1	0	0	0	2	0	0	1	2	1	0	
4	6	3	0	1	1	0	0	0	0	1	1	0	1	
1	1	2	0	0	0	0	0	1	0	2	1	0	1	
