"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	
2027	2078	2135	1635	1249	2090	2189	1653	1813	1920	248	171	892	237	390	699	728	579	570	529	327	263	328	301	481	902	510	319	393	197	623	
1649	1679	1762	1336	1039	1722	1776	1355	1473	1563	205	146	735	197	330	546	586	483	476	443	296	212	289	283	411	743	434	258	316	158	529	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1251	1189	1219	978	744	1384	1458	953	1121	1175	155	83	460	115	161	325	340	308	305	308	181	157	167	164	252	569	274	176	154	86	324	
73	115	90	46	37	56	52	92	70	66	18	27	63	32	62	84	96	105	64	35	40	35	84	35	77	48	54	46	114	65	119	
325	375	453	312	258	282	266	310	282	322	32	36	212	50	107	137	150	70	107	100	75	20	38	84	82	126	106	36	48	7	86	
73	115	90	46	37	56	52	92	70	66	18	27	63	32	62	84	96	105	64	35	40	35	84	35	77	48	54	46	114	65	119	
1251	1189	1219	978	744	1384	1457	953	1121	1175	155	83	460	115	161	325	340	308	305	308	181	157	167	164	252	569	274	176	154	86	324	
13	10	12	13	10	11	19	12	10	6	0	1	2	0	0	1	7	4	2	3	3	3	3	1	8	3	2	1	1	2	2	
1311	1294	1297	1011	771	1429	1490	1033	1181	1235	173	109	521	147	223	408	429	409	367	340	218	189	248	198	321	614	326	221	267	149	441	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	11	7	7	2	14	8	8	12	16	1	0	6	0	2	1	1	5	1	4	0	0	3	0	3	5	1	1	2	0	5	
198	217	200	125	144	200	267	164	174	191	29	9	64	15	47	62	41	38	49	38	18	17	11	25	58	100	66	25	18	22	91	
121	114	130	93	83	122	114	69	81	112	14	16	46	20	17	38	43	28	35	49	21	22	63	24	24	37	23	18	27	7	46	
941	913	924	763	513	1034	1055	751	865	878	124	82	390	109	151	294	331	327	273	239	174	143	163	146	230	446	228	172	217	113	288	
14	17	9	3	6	23	19	17	18	9	1	0	4	1	1	6	6	5	2	2	3	4	6	1	1	7	2	1	2	1	5	
13	6	17	7	7	8	8	7	9	14	2	1	6	1	1	2	5	3	4	6	0	1	1	2	1	7	4	2	0	3	4	
5	7	6	9	12	9	9	10	11	9	2	1	4	0	3	4	0	1	2	1	0	1	0	0	3	8	0	1	0	1	1	
12	9	4	4	4	19	10	7	11	6	0	0	1	1	1	1	2	2	1	1	2	1	1	0	1	4	2	1	1	2	1	
