"УИК №4901"	"УИК №4902"	"УИК №4903"	"УИК №4904"	"УИК №4905"	"УИК №4906"	"УИК №4907"	"УИК №4908"	"УИК №4909"	"УИК №4910"	"УИК №4911"	"УИК №4912"	"УИК №4913"	"УИК №4914"	"УИК №4915"	"УИК №4916"	"УИК №4917"	"УИК №4918"	"УИК №4919"	"УИК №4920"	"УИК №4921"	"УИК №4922"	"УИК №4923"	"УИК №4924"	"УИК №4925"	"УИК №4926"	"УИК №4927"	"УИК №4928"	"УИК №4929"	"УИК №4930"	"УИК №4931"	"УИК №4932"	"УИК №4933"	"УИК №4934"	"УИК №4935"	"УИК №4936"	"УИК №4937"	"УИК №4938"	"УИК №4939"	"УИК №4940"	"УИК №4941"	"УИК №4942"	"УИК №4943"	"УИК №4944"	"УИК №4945"	"УИК №4946"	"УИК №4947"	"УИК №4948"	"УИК №4949"	"УИК №4950"	"УИК №4951"	"УИК №4952"	"УИК №4953"	"УИК №4954"	"УИК №4999"	
1238	637	1641	1965	1199	1920	1690	2043	2050	2666	1476	1496	1363	1708	2463	1836	1306	1318	1743	1558	1814	1344	1113	2086	1097	2475	2200	1437	1277	1172	2335	1298	2027	2136	1513	1362	1361	2064	1288	780	1870	1123	1761	1604	1068	903	711	2676	2797	2574	884	1415	1158	1768	2796	
1088	596	1480	1764	1031	1676	1530	1951	1831	2325	1242	1269	1136	1558	2161	1579	1166	1333	1689	1550	1604	1214	924	1843	899	2227	1899	1218	1056	1040	2013	1133	1836	1909	1229	1229	1195	1848	1134	761	1535	999	1574	1415	959	814	694	2676	2559	2254	762	1251	1025	1513	2800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
575	511	1115	1130	682	1226	1129	1309	1218	1472	789	876	787	997	1370	1012	755	918	1011	828	906	665	721	1473	618	1432	1251	866	828	733	1360	818	1493	1221	942	1026	859	1485	1059	611	1189	647	977	878	533	602	622	1846	1686	1526	635	1080	811	1019	2723	
158	34	60	60	57	68	47	33	165	47	82	50	49	68	156	64	94	128	116	181	92	155	34	69	102	98	175	81	139	71	121	84	170	124	97	146	141	216	49	51	138	84	157	159	160	136	30	158	140	128	123	117	133	181	0	
355	51	305	574	292	382	354	609	448	806	371	343	300	493	635	503	317	287	562	541	606	394	169	301	179	697	473	271	89	236	532	231	173	564	190	57	195	147	26	99	208	268	440	378	266	76	42	672	733	600	4	54	81	313	77	
158	34	60	60	57	68	47	33	165	47	82	50	49	68	156	64	94	128	116	181	92	155	34	69	102	98	175	81	139	71	121	84	170	123	97	146	141	216	49	51	138	84	157	159	160	136	30	158	140	128	123	117	133	181	0	
574	511	1115	1130	682	1226	1129	1309	1218	1471	789	873	787	996	1370	1012	755	918	1011	828	906	665	721	1473	618	1432	1251	866	828	733	1360	818	1493	1221	942	1026	859	1485	1059	611	1189	647	976	878	533	602	612	1846	1683	1526	635	1080	811	1019	2723	
27	8	22	14	11	13	21	18	14	24	8	5	7	9	15	11	19	19	11	10	25	16	9	9	7	28	16	13	3	6	13	13	26	14	20	6	15	6	7	5	13	15	8	15	8	7	10	39	41	27	7	8	19	21	35	
705	537	1153	1176	728	1281	1155	1324	1369	1494	863	918	829	1055	1511	1065	830	1027	1116	999	973	804	746	1533	713	1502	1410	934	964	798	1468	889	1637	1330	1019	1166	985	1695	1101	657	1314	716	1125	1022	685	731	632	1965	1782	1627	751	1189	925	1179	2688	
