"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1038"	"УИК №1039"	"УИК №1040"	
2432	2096	2508	1207	130	247	686	268	387	125	292	104	309	405	553	304	372	96	93	88	457	184	45	582	107	355	190	257	
2300	2000	2394	1352	154	251	734	291	423	129	317	126	390	447	581	320	386	94	101	104	497	214	64	635	131	378	211	283	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1192	1131	1342	524	92	138	317	155	246	84	177	67	150	239	247	164	210	62	56	39	252	117	33	370	57	215	108	137	
73	53	100	208	6	12	77	9	26	10	15	6	42	21	101	21	40	6	14	10	47	19	5	55	9	29	17	39	
1035	816	952	620	56	101	340	127	151	35	125	53	198	187	233	135	136	26	31	55	198	78	26	210	65	134	86	107	
73	53	100	208	6	12	77	9	26	10	15	6	42	21	101	21	40	6	14	10	47	19	5	55	9	29	17	39	
1192	1131	1341	524	92	138	317	155	246	84	177	67	150	239	247	164	210	62	56	39	252	117	33	370	57	215	108	137	
14	14	22	4	0	1	3	3	0	0	5	0	0	5	2	5	1	1	0	0	2	0	0	3	0	5	1	1	
1251	1170	1419	728	98	149	391	161	272	94	187	73	192	255	346	180	249	67	70	49	297	136	38	422	66	239	124	175	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	8	9	7	0	1	3	0	3	0	1	0	1	2	2	0	1	0	2	0	1	0	0	1	0	4	0	1	
157	176	169	29	13	10	30	9	14	5	14	0	13	14	35	17	10	1	7	2	34	9	2	34	2	29	19	18	
97	71	108	55	7	9	29	9	9	6	11	7	14	26	36	9	14	6	4	3	15	7	2	28	7	16	12	12	
959	892	1090	624	75	128	323	141	241	83	156	62	161	206	269	151	222	58	56	44	237	116	34	353	56	185	91	141	
9	9	18	6	0	0	2	0	3	0	2	1	1	6	1	1	0	1	0	0	5	1	0	2	1	4	2	1	
11	8	13	2	3	0	4	1	0	0	0	1	1	0	1	1	1	1	0	0	5	3	0	4	0	1	0	2	
8	2	7	5	0	0	0	0	2	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
5	4	5	0	0	1	0	1	0	0	3	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	
