"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1096"	
845	625	702	908	355	571	899	856	101	396	339	94	61	132	114	258	85	487	227	98	88	244	39	52	386	722	156	164	122	489	153	113	63	
834	615	703	929	326	567	922	874	111	381	342	113	75	124	124	218	88	513	225	111	104	240	54	63	389	712	146	163	124	491	163	115	78	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
473	368	503	631	216	327	505	509	77	280	211	64	50	76	105	200	77	289	113	75	67	194	27	43	235	444	96	107	73	257	101	70	42	
17	34	32	47	38	11	38	38	5	40	21	1	0	12	7	18	6	17	18	6	0	4	9	1	39	39	8	5	12	63	11	4	2	
344	213	168	251	72	229	379	327	29	61	110	48	25	36	12	0	5	207	94	30	37	42	18	19	115	229	42	51	39	171	51	41	34	
17	34	32	47	38	11	38	38	5	40	21	1	0	12	7	18	6	17	18	6	0	4	9	1	39	39	8	5	12	63	11	4	2	
473	368	503	631	216	327	505	509	77	280	211	64	50	76	105	200	77	289	113	75	67	194	27	43	235	444	96	107	73	257	101	70	42	
9	4	6	8	0	3	3	9	2	1	4	1	1	0	0	5	1	5	3	2	4	0	0	0	4	3	2	1	0	5	0	1	0	
481	398	529	670	254	335	540	538	80	319	228	64	49	88	112	213	82	301	128	79	63	198	36	44	270	480	102	111	85	315	112	73	44	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	4	7	1	6	0	3	0	1	0	1	0	1	0	0	0	2	2	0	0	1	0	0	0	4	0	0	0	2	1	2	0	
89	52	64	113	39	48	86	92	9	6	14	8	2	6	6	11	5	30	21	3	9	15	2	0	27	55	15	5	8	42	9	5	0	
56	38	32	41	30	34	37	51	6	32	24	7	8	6	10	12	3	23	25	3	7	16	5	0	21	28	11	9	4	38	6	4	11	
316	299	406	493	177	239	406	380	65	278	185	42	39	73	95	187	74	239	79	73	43	165	29	44	219	383	75	96	73	224	94	61	33	
9	4	9	5	1	3	6	4	0	1	3	3	0	1	0	2	0	0	0	0	3	1	0	0	0	1	1	0	0	4	2	0	0	
5	0	7	7	5	3	5	4	0	0	1	2	0	0	0	0	0	5	1	0	1	0	0	0	2	4	0	1	0	3	0	1	0	
2	1	4	2	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	
2	0	3	2	1	2	0	1	0	1	1	1	0	1	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	
