"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	
1185	1243	1482	1444	1675	1134	1375	1350	1277	1372	
1130	1200	1420	1410	1500	1150	1350	1350	1270	1270	
0	0	0	0	0	0	0	0	0	0	
705	670	774	771	806	563	771	669	645	1056	
50	12	46	44	205	39	70	33	52	10	
375	518	600	595	489	548	509	648	573	204	
50	12	46	44	205	39	70	33	52	10	
705	670	774	771	806	563	771	669	645	1056	
8	5	12	13	7	3	8	9	6	13	
747	677	808	802	1004	599	833	693	691	1053	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

5	3	2	9	11	3	9	4	3	8	
117	114	134	134	136	117	153	118	105	128	
50	66	78	72	117	43	77	63	62	89	
561	469	565	569	714	418	568	495	502	785	
4	7	9	5	7	11	6	5	8	19	
2	5	8	2	6	5	7	2	4	11	
5	4	2	8	7	1	6	4	4	9	
3	9	10	3	6	1	7	2	3	4	
