"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	
1322	2649	1716	2784	2457	2341	2416	1772	1180	1912	2849	2547	1923	1769	1494	2404	754	2506	2054	1857	2424	2722	2768	2538	2395	2471	2135	1969	2005	1845	2752	2710	513	
1178	2527	1651	2609	2169	2194	2259	1713	1101	1789	2657	2231	1787	1436	1307	2357	695	2231	1917	1776	2177	2501	2707	2145	1880	2118	1853	1630	1722	1694	2661	2641	514	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
598	1117	552	1161	1112	1232	1213	859	438	852	1046	1174	733	865	730	1168	384	886	802	837	1127	1487	1556	1436	1104	1292	1095	1100	1067	988	1179	1183	513	
34	24	22	29	69	57	92	37	20	29	21	65	16	59	30	33	8	25	22	23	43	40	48	40	286	64	33	47	51	43	20	15	0	
546	1386	1077	1419	988	905	954	817	643	908	1590	992	1038	512	547	1156	303	1320	1093	916	1007	974	1103	669	490	762	725	483	604	663	1462	1443	1	
34	24	22	29	69	57	92	37	20	29	21	65	16	59	30	33	8	25	22	23	43	40	48	40	286	64	33	47	51	43	20	15	0	
598	1117	552	1160	1110	1232	1213	859	437	852	1046	1174	733	865	730	1168	384	886	802	837	1127	1487	1556	1436	1104	1292	1095	1100	1067	986	1178	1183	513	
1	10	6	19	24	11	15	14	3	13	12	12	8	12	9	20	1	9	6	6	16	18	14	18	9	13	13	5	15	12	17	13	10	
631	1131	568	1170	1155	1278	1290	882	454	868	1055	1227	741	912	751	1181	391	902	818	854	1154	1509	1590	1458	1381	1343	1115	1142	1103	1017	1181	1185	503	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	3	2	2	10	12	8	7	4	3	5	7	2	5	6	7	2	5	3	5	16	7	14	7	14	8	7	6	9	4	12	1	6	
82	176	67	155	135	192	196	146	60	102	148	199	97	133	101	164	56	132	135	153	216	240	236	271	159	180	169	174	134	163	168	164	18	
55	121	51	79	63	66	71	49	39	76	97	96	64	66	50	102	40	94	69	71	103	82	91	89	94	95	77	44	69	61	103	90	79	
472	807	438	901	907	971	978	646	340	666	778	888	564	680	583	865	285	639	586	604	788	1137	1200	1043	1083	1020	831	878	854	765	870	903	380	
8	6	3	13	18	16	12	12	4	9	12	10	3	15	4	20	6	13	8	9	11	17	16	12	11	11	13	17	14	10	8	10	10	
4	9	2	10	12	5	11	7	3	5	9	15	7	5	6	6	1	10	9	4	5	13	9	12	11	11	9	6	13	7	6	9	4	
3	7	2	3	5	8	6	6	0	3	3	6	3	2	0	10	1	4	4	3	7	10	13	9	7	11	5	5	5	2	10	3	5	
3	2	3	7	5	8	8	9	4	4	3	6	1	6	1	7	0	5	4	5	8	3	11	15	2	7	4	12	5	5	4	5	1	
