"УИК №1481"	"УИК №1482"	"УИК №1483"	"УИК №1484"	"УИК №1485"	"УИК №1486"	"УИК №1487"	"УИК №1488"	"УИК №1489"	"УИК №1490"	"УИК №1491"	"УИК №1492"	"УИК №1493"	"УИК №1494"	"УИК №1495"	"УИК №1496"	"УИК №1497"	"УИК №1498"	"УИК №1499"	"УИК №1500"	"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	
89	56	221	747	589	187	147	176	58	154	629	1228	1074	1139	1101	919	120	302	439	124	212	92	535	36	629	137	67	
87	56	212	745	577	183	149	166	54	151	620	1253	1083	1125	1116	940	119	307	445	120	211	87	545	36	620	138	65	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61	30	121	473	349	97	83	87	41	104	387	597	497	694	614	480	64	177	283	64	148	68	345	24	332	72	44	
6	6	18	54	46	14	7	7	5	8	34	58	39	72	67	38	13	17	18	13	12	10	34	6	27	18	7	
20	20	73	218	182	72	59	72	8	39	199	598	547	359	435	422	42	113	144	43	51	9	166	6	261	48	14	
6	6	18	54	46	14	7	7	5	8	34	58	39	72	67	38	13	17	18	13	12	10	34	6	27	18	7	
61	30	121	473	349	97	83	87	41	104	387	597	497	694	614	480	64	177	283	64	148	68	345	24	332	72	44	
0	1	3	7	9	1	1	0	0	1	3	8	16	11	6	4	0	0	2	0	0	0	3	0	2	0	0	
67	35	136	520	386	110	89	94	46	111	418	647	520	755	675	514	77	194	299	77	160	78	376	30	357	90	51	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	1	1	2	0	0	0	1	1	9	2	8	3	4	0	2	2	1	2	0	0	0	1	0	0	
1	1	15	93	22	23	4	6	5	4	57	119	108	146	117	61	6	10	27	10	20	16	36	1	46	13	4	
1	1	13	36	37	9	5	2	7	5	18	38	40	50	37	44	1	19	30	10	10	8	27	0	28	10	4	
65	33	107	381	320	76	78	85	33	100	338	465	356	534	505	397	67	157	232	56	122	53	304	29	276	67	43	
0	0	0	0	0	0	1	1	0	1	2	6	5	4	5	0	2	4	3	0	2	0	6	0	4	0	0	
0	0	0	4	2	0	1	0	0	0	1	6	7	6	2	6	1	2	3	0	1	1	1	0	1	0	0	
0	0	1	1	2	0	0	0	0	0	0	1	1	5	4	2	0	0	0	0	2	0	1	0	0	0	0	
0	0	0	4	2	0	0	0	1	0	1	3	1	2	2	0	0	0	2	0	1	0	1	0	1	0	0	
