"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1109"	"УИК №1110"	"УИК №1112"	"УИК №1113"	"УИК №1115"	"УИК №1116"	
568	620	1519	572	931	180	1193	1476	1036	482	269	90	246	565	177	120	353	373	104	179	233	470	120	820	174	422	201	175	76	744	126	126	448	341	137	82	295	298	100	312	95	701	214	
550	600	1530	570	900	160	1180	1500	1050	450	250	100	250	570	180	120	330	350	100	170	230	450	120	830	150	410	190	140	70	730	120	120	430	320	120	80	300	300	100	300	100	700	210	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
283	376	824	286	515	90	706	780	724	301	173	48	148	347	108	62	223	227	52	105	133	316	49	479	103	223	122	104	42	349	90	64	280	223	90	43	134	188	64	167	45	383	116	
17	42	63	18	77	7	24	69	24	48	16	5	25	24	12	11	7	7	7	12	22	15	20	48	9	13	12	16	3	64	3	16	39	28	5	0	47	25	9	33	22	80	18	
250	182	643	266	308	63	450	651	302	101	61	47	77	199	60	47	100	116	41	53	75	119	51	303	38	174	56	20	25	317	27	40	111	69	25	37	119	87	27	100	33	237	76	
17	42	63	18	77	7	24	69	24	48	16	5	25	24	12	11	7	7	7	12	22	15	20	48	9	13	12	16	3	64	3	16	39	28	5	0	47	25	9	33	22	80	18	
283	376	824	286	515	90	706	780	724	301	173	48	148	347	108	62	223	227	52	105	133	316	49	479	103	223	122	104	42	349	90	64	280	223	90	43	134	188	64	167	45	383	116	
6	2	7	1	5	1	8	16	8	4	2	0	0	1	0	0	1	4	0	3	2	4	1	3	1	1	0	0	1	1	0	0	3	3	0	0	0	1	0	2	0	2	1	
294	416	880	303	587	96	722	833	740	345	187	53	173	370	120	73	229	230	59	114	153	327	68	524	111	235	134	120	44	412	93	80	316	248	95	43	181	212	73	198	67	461	133	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	2	0	5	1	3	1	3	1	1	0	1	4	2	0	2	0	0	1	3	4	0	1	0	1	0	1	0	1	0	0	3	1	0	2	0	0	0	1	0	4	1	
35	59	132	41	108	7	102	123	108	41	8	8	18	43	2	10	59	29	1	10	13	74	6	75	6	36	17	6	2	58	2	11	29	16	10	3	9	12	1	57	6	56	7	
18	44	75	33	44	14	54	79	81	27	28	7	18	26	7	0	14	23	5	17	11	30	11	59	3	18	9	14	9	41	18	9	29	19	10	3	15	29	5	20	10	18	11	
227	303	652	224	417	73	542	608	531	265	146	37	131	291	108	63	151	170	51	86	123	215	50	377	101	176	102	97	33	300	70	57	248	210	75	33	153	170	64	120	50	371	114	
6	2	7	1	3	1	8	6	7	3	1	1	1	2	0	0	1	4	0	0	2	1	0	5	1	0	2	1	0	4	1	0	4	0	0	2	1	0	0	0	0	8	0	
4	3	7	1	4	0	6	9	3	5	2	0	3	2	1	0	2	4	1	0	1	1	1	4	0	3	2	0	0	2	1	3	1	1	0	0	2	1	2	0	1	1	0	
1	0	2	1	3	0	3	5	3	0	1	0	0	2	0	0	0	0	1	0	0	1	0	1	0	1	2	1	0	4	0	0	1	1	0	0	0	0	1	0	0	2	0	
0	0	3	2	3	0	4	2	4	3	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	1	0	
