"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	
1389	1445	262	181	127	314	303	217	387	199	179	405	135	397	108	427	223	284	228	832	279	117	304	318	335	
1150	1250	250	150	100	260	250	180	330	170	150	330	120	330	90	360	190	230	190	700	230	100	240	270	280	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
810	848	148	93	61	148	171	97	201	79	69	214	43	117	30	211	44	124	93	455	131	33	151	119	163	
104	79	67	34	38	57	42	55	38	51	50	73	60	129	43	53	70	50	53	104	74	57	70	77	75	
236	323	35	23	1	55	37	28	91	40	31	43	17	84	17	96	76	56	44	141	25	10	19	74	42	
104	79	67	34	38	57	42	55	38	51	50	73	60	129	43	53	70	50	53	104	74	57	70	77	75	
810	846	148	93	61	148	171	97	201	79	69	214	43	117	30	211	44	124	93	455	131	33	151	119	163	
9	11	2	3	0	0	2	1	1	0	0	7	0	0	0	9	0	0	0	5	2	0	1	1	1	
905	914	213	124	99	205	211	151	238	130	119	280	103	246	73	255	114	174	146	554	203	90	220	195	237	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	4	0	0	1	2	1	1	2	0	1	1	0	1	1	1	2	1	0	2	2	1	1	1	0	
164	137	6	31	17	23	20	5	26	9	9	21	5	23	7	36	8	29	24	76	26	6	15	17	18	
34	41	14	2	4	11	10	10	14	4	4	12	3	13	8	17	8	8	10	45	14	7	14	16	10	
688	724	190	91	75	167	178	135	192	113	104	246	93	204	53	200	95	134	108	420	154	76	185	158	205	
4	3	2	0	1	1	0	0	2	1	1	0	0	0	1	1	0	1	0	5	3	0	1	2	3	
4	2	1	0	1	0	2	0	1	2	0	0	2	4	1	0	0	1	4	4	3	0	3	1	0	
2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	1	0	1	
3	3	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
