"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	
1545	1130	1803	1564	1422	2349	1722	2179	1400	1844	1095	1877	2670	1832	1377	1275	1733	1752	1464	2359	1536	1591	1748	1542	1201	961	2035	1282	2055	2134	1610	1972	1512	2051	1484	1239	1413	2054	1177	1764	1788	1328	1615	1930	2227	2159	1413	1813	932	391	147	97	74	38	
1400	1000	1600	1500	1300	2300	1600	2100	1300	1700	1000	1800	2600	1700	1300	1100	1700	1700	1400	2300	1400	1500	1700	1400	1100	900	2000	1200	2000	2000	1500	1900	1400	2000	1400	1100	1300	2000	1000	1700	1700	1300	1500	1800	2100	2100	1300	1700	900	400	150	110	85	45	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
911	640	1046	851	808	1483	1054	1417	923	1102	639	1144	1639	1098	768	689	1149	1041	813	1375	897	943	1099	943	736	545	1368	798	1283	1196	885	1134	942	1119	943	721	877	1287	712	1043	1112	823	937	1204	1169	1297	894	1005	501	282	74	97	30	26	
36	24	46	100	31	62	27	39	32	43	18	43	63	50	73	27	38	27	37	37	52	32	38	40	36	37	47	36	49	91	47	41	69	63	41	24	26	48	40	31	31	23	51	28	85	50	51	128	108	102	70	0	44	12	
453	336	508	549	461	755	519	644	345	555	343	613	898	552	459	384	513	632	550	888	451	525	563	417	328	318	585	366	668	713	568	725	389	818	416	355	397	665	248	626	557	454	512	568	846	753	355	567	291	16	6	13	11	7	
36	24	46	100	31	62	27	39	32	43	17	43	63	50	73	27	38	27	37	37	52	32	38	40	36	37	47	36	49	91	47	41	69	63	41	24	26	48	40	31	31	23	51	28	85	50	51	128	108	102	70	0	44	12	
911	640	1046	851	808	1483	1054	1417	923	1102	639	1144	1639	1098	768	689	1148	1041	813	1375	897	943	1099	943	736	545	1368	798	1283	1196	885	1134	942	1119	943	721	877	1287	712	1043	1112	823	937	1204	1169	1297	894	1005	501	282	74	97	30	26	
14	8	18	16	8	18	12	18	17	11	2	11	25	10	9	7	15	14	8	21	6	11	14	12	11	3	14	15	23	13	15	4	14	12	10	7	12	18	8	13	8	10	13	14	12	13	3	11	5	20	2	2	0	0	
933	656	1074	935	831	1527	1069	1438	938	1134	654	1176	1677	1138	832	709	1171	1054	842	1391	943	964	1123	971	761	579	1401	819	1309	1274	917	1171	997	1170	974	738	891	1317	744	1061	1135	836	975	1218	1242	1334	942	1122	604	364	142	95	74	38	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	0	9	7	8	8	7	15	6	15	3	12	14	6	7	3	10	8	6	13	8	5	5	6	2	2	17	4	9	5	8	9	7	6	9	2	2	14	4	6	7	4	8	9	8	13	6	8	2	7	1	1	0	0	
129	69	137	112	91	225	132	212	125	138	94	150	214	155	116	90	162	138	119	173	111	135	169	124	96	76	173	98	158	149	120	144	100	137	122	93	139	176	92	137	158	105	151	176	181	203	111	148	80	17	10	1	7	5	
70	46	52	59	48	95	56	84	53	80	41	83	107	58	45	43	57	66	44	91	53	58	68	51	45	50	69	42	80	92	62	70	70	76	65	44	54	70	39	80	81	55	61	95	77	76	65	59	23	28	10	22	5	4	
708	529	851	726	659	1164	844	1062	711	859	499	897	1281	884	645	552	904	813	655	1086	756	744	853	766	595	435	1100	648	1019	995	705	921	794	914	752	573	664	1014	584	800	860	651	729	911	948	997	745	887	483	305	119	65	61	29	
6	4	8	8	9	7	13	24	12	12	10	15	26	14	10	5	16	13	7	10	5	9	9	10	7	6	20	12	17	12	6	11	13	14	10	11	8	12	9	11	10	2	9	8	6	19	7	5	8	2	2	5	0	0	
6	3	7	14	5	9	8	18	11	12	2	12	17	7	3	7	10	7	4	9	5	8	11	3	7	2	12	5	11	10	9	7	8	4	9	7	3	16	10	13	9	6	10	8	16	9	5	5	4	4	0	0	1	0	
3	2	4	4	5	10	7	10	10	10	1	2	15	5	3	6	7	5	3	7	3	4	4	7	3	3	3	7	9	8	3	4	1	7	5	6	12	8	3	11	6	7	3	5	3	8	2	6	2	0	0	0	0	0	
5	3	6	5	6	9	2	13	10	8	4	5	3	9	3	3	5	4	4	2	2	1	4	4	6	5	7	3	6	3	4	5	4	12	2	2	9	7	3	3	4	6	4	6	3	9	1	4	2	1	0	1	0	0	
