"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	
1621	1549	1545	1709	1522	816	243	268	504	356	310	775	404	499	505	263	1174	217	346	366	878	920	397	330	638	488	618	215	243	427	445	287	390	386	642	147	182	387	251	442	133	165	199	217	168	832	365	399	419	302	
1200	1150	1150	1250	1150	750	240	270	490	340	300	650	390	450	470	250	950	210	330	350	800	850	380	320	600	450	550	210	230	400	400	280	390	390	600	140	180	380	260	440	140	160	190	230	180	830	350	400	410	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1013	830	987	1012	959	639	197	206	244	206	177	430	244	271	304	116	641	92	181	195	455	612	207	185	325	344	304	113	120	258	294	187	271	186	357	68	93	301	170	309	59	76	112	145	75	581	255	278	246	136	
81	83	45	70	63	79	27	25	79	46	43	70	59	59	63	54	9	58	85	89	128	85	80	58	104	74	118	21	26	26	26	23	67	108	123	53	36	39	45	53	40	54	60	39	35	89	37	50	57	78	
106	237	118	168	128	32	16	39	167	88	80	150	87	120	103	80	300	60	64	66	217	153	93	77	171	32	128	76	84	116	80	70	52	96	120	19	51	40	45	78	41	30	18	46	70	160	58	72	107	86	
81	83	45	70	63	79	27	25	79	46	43	70	59	59	63	54	9	58	85	89	128	85	80	58	104	74	118	21	26	26	26	23	67	108	123	53	36	39	45	53	40	54	60	39	35	89	37	50	57	78	
1013	830	987	1012	958	639	197	206	244	206	177	430	244	271	304	116	641	92	181	195	455	612	207	185	325	344	304	113	120	258	294	187	271	186	357	68	93	301	170	309	59	76	112	145	75	581	255	278	246	136	
21	8	13	15	16	0	0	1	2	1	3	1	1	2	0	2	1	0	1	2	1	2	1	2	3	4	2	2	2	4	7	1	1	2	3	0	0	10	1	2	0	0	0	0	1	3	3	4	4	6	
1073	905	1019	1067	1005	718	224	230	321	251	217	499	302	328	367	168	649	150	265	282	582	695	286	241	426	414	420	132	144	280	313	209	337	292	477	121	129	330	214	360	99	130	172	184	109	667	289	324	299	208	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	9	9	10	4	6	0	2	1	3	0	3	2	2	0	1	1	0	1	4	5	4	1	3	4	4	1	1	2	1	0	2	6	1	3	2	0	1	4	2	0	1	0	0	0	4	0	0	1	2	
154	114	136	138	144	45	19	20	27	28	14	54	37	45	25	4	80	9	19	23	40	54	24	30	52	41	26	16	7	26	20	20	24	20	46	14	13	9	18	20	7	4	13	13	6	57	29	29	20	17	
43	44	41	69	50	19	6	11	13	11	12	20	20	22	18	11	40	13	22	8	19	24	14	15	23	20	35	12	14	27	17	10	16	13	16	7	12	12	6	10	3	8	10	13	5	23	23	10	6	15	
846	715	815	824	784	640	197	192	278	204	187	415	236	254	318	150	511	123	216	237	504	607	245	189	342	345	352	98	120	220	268	171	288	254	405	98	102	305	185	323	89	116	145	158	97	574	236	284	267	171	
6	8	8	14	8	5	0	3	1	0	1	2	2	1	1	1	4	3	3	1	3	3	1	1	0	3	1	1	0	3	3	4	1	1	3	0	0	1	1	1	0	0	2	0	1	4	1	0	2	2	
6	8	4	8	3	2	2	1	1	2	0	1	4	3	4	1	9	0	4	4	6	3	1	1	5	0	5	3	0	1	1	0	2	3	0	0	0	0	0	2	0	1	1	0	0	4	0	1	0	0	
4	5	3	4	4	1	0	0	0	3	2	1	0	0	1	0	2	0	0	1	4	0	0	1	0	0	0	1	0	2	3	0	0	0	3	0	2	2	0	1	0	0	1	0	0	1	0	0	1	0	
5	2	3	0	8	0	0	1	0	0	1	3	1	1	0	0	2	2	0	4	1	0	0	1	0	1	0	0	1	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	
