"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	
1225	1237	1383	870	1379	1309	523	1393	1207	1238	1209	1312	1209	1208	1217	904	643	159	774	314	111	244	227	530	88	393	117	321	555	520	354	
1160	1220	1320	870	1360	1270	480	1330	1155	1200	1200	1290	1185	1195	1150	875	595	151	796	312	150	235	220	515	85	362	112	320	550	500	345	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1081	987	977	644	1004	1024	426	883	819	913	706	898	931	1006	1036	696	459	140	687	255	94	199	206	469	80	338	112	243	484	429	305	
22	56	70	95	97	72	45	159	70	116	60	53	36	41	62	43	99	8	76	35	11	33	12	46	5	21	0	36	48	61	27	
57	177	273	131	259	174	9	288	266	171	434	339	218	148	52	136	37	3	33	22	45	3	2	0	0	3	0	41	18	10	13	
22	56	70	95	97	72	45	159	70	116	60	53	36	41	62	43	99	8	76	35	11	33	12	46	5	21	0	36	48	61	27	
1079	987	957	644	1004	1024	426	883	819	913	706	898	931	1006	1036	696	459	140	686	255	94	199	206	469	80	338	112	243	484	429	305	
1	3	12	5	13	10	1	3	0	10	4	9	4	14	7	8	3	0	3	8	0	0	0	1	0	0	0	2	0	6	2	
1100	1040	1015	734	1088	1086	470	1039	889	1019	762	942	963	1033	1091	731	555	148	759	282	105	232	218	514	85	359	112	277	532	484	330	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	4	7	2	6	7	2	2	2	5	4	7	12	10	2	5	1	1	0	1	0	0	0	1	0	1	0	1	2	2	2	
64	21	147	26	28	40	19	8	31	51	25	97	29	140	56	31	37	7	9	14	3	7	6	8	1	5	1	8	21	37	7	
30	32	94	27	40	33	23	4	38	37	31	37	36	61	27	19	51	13	6	12	2	2	5	3	2	4	1	4	8	32	8	
993	965	740	669	990	995	420	1017	800	906	689	761	860	792	988	658	462	125	741	251	98	220	205	497	82	346	109	264	497	395	305	
3	7	9	4	8	6	2	2	4	7	4	9	10	13	8	6	2	0	2	0	1	2	1	1	0	1	1	0	2	8	2	
3	5	8	2	6	2	3	2	11	7	4	18	0	7	5	3	1	1	1	2	0	0	1	2	0	1	0	0	1	8	1	
2	2	5	2	4	2	0	2	2	2	0	6	2	7	3	4	0	1	0	0	1	0	0	0	0	0	0	0	1	2	2	
2	4	5	2	6	1	1	2	1	4	5	7	14	3	2	5	1	0	0	2	0	1	0	2	0	1	0	0	0	0	3	
