"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №3656"	
2555	2313	2018	2392	2478	2469	2441	2240	2350	2564	2118	2560	2520	1893	2050	2444	2225	2530	2306	2001	2176	2349	1265	2134	2370	965	
2000	1800	1800	2000	1800	2000	2000	1800	1900	2000	1800	2000	2000	1500	1800	2000	1800	2000	1800	1600	1700	1800	1000	1800	1800	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1486	1296	1203	1358	1352	1393	1398	1329	1303	1426	1292	1514	1562	1018	1200	1228	1332	1442	1303	1126	1310	1367	784	1186	1697	745	
63	51	48	32	70	64	80	42	44	50	41	51	51	45	36	73	49	59	56	30	56	34	33	51	24	220	
451	453	549	610	378	543	522	429	553	524	467	435	387	437	564	699	419	499	441	444	334	399	183	563	79	535	
63	51	48	32	70	64	80	42	44	50	41	51	51	45	36	73	49	59	56	30	56	34	33	51	24	220	
1486	1291	1203	1358	1350	1393	1398	1326	1300	1426	1290	1512	1561	1016	1195	1228	1332	1442	1300	1125	1308	1367	784	1186	1695	745	
33	20	10	27	30	16	22	27	21	18	10	18	22	10	56	12	16	21	27	14	14	13	7	17	25	12	
1516	1322	1241	1363	1390	1441	1456	1341	1323	1458	1321	1545	1590	1051	1175	1289	1365	1480	1329	1141	1350	1388	810	1220	1694	953	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	13	16	23	17	9	14	15	15	23	19	20	13	13	11	9	17	19	18	13	13	15	5	20	7	7	
201	170	155	163	151	189	161	162	157	176	148	191	198	103	154	164	156	147	135	134	151	205	92	154	147	97	
67	73	62	69	70	78	66	75	87	75	57	60	67	47	41	83	64	57	64	50	77	56	41	55	71	55	
1116	952	895	944	1024	1029	1043	951	923	996	953	1113	1176	791	820	912	1005	1117	991	779	984	996	610	845	1407	740	
45	45	50	70	50	53	71	52	59	70	59	74	43	34	58	48	53	59	40	62	61	52	20	55	31	26	
15	10	10	13	13	10	8	11	12	14	13	13	15	14	15	11	11	15	9	12	9	12	8	7	5	6	
17	13	14	29	26	24	40	28	22	41	19	15	30	10	22	23	21	23	25	26	15	15	10	23	13	3	
41	46	39	52	39	49	53	47	48	63	53	59	48	39	54	39	38	43	47	65	40	37	24	61	13	19	
