"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	
1730	2094	1499	2299	2144	2199	2470	2052	2600	2569	2479	2256	2545	2668	2461	2340	2195	
1600	1700	1200	1700	1700	1900	1800	1500	2000	2100	2000	2300	2000	2200	2000	1700	1800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1015	1112	795	1282	1253	1111	1422	1233	1669	1470	1462	1425	1637	1612	1369	1280	1241	
46	37	39	66	49	56	42	34	23	76	59	47	43	17	65	41	50	
539	551	366	352	398	733	336	234	308	554	479	827	320	571	566	379	509	
46	37	39	66	49	56	42	34	23	76	59	47	43	17	65	41	50	
1010	1111	795	1282	1253	1111	1419	1233	1669	1466	1462	1425	1635	1612	1367	1279	1239	
17	12	9	18	13	14	26	58	32	18	32	30	36	21	58	24	28	
1039	1136	825	1330	1289	1153	1435	1209	1660	1524	1489	1442	1642	1608	1374	1296	1261	
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	

10	10	9	14	14	11	27	11	14	17	32	24	20	11	13	10	8	
148	146	96	145	181	140	220	177	237	186	170	198	195	228	156	198	170	
42	42	43	67	68	54	64	70	79	78	78	52	56	71	62	58	61	
684	835	557	961	866	818	937	813	1186	1094	1051	1022	1190	1111	1023	910	887	
74	51	51	66	78	55	87	63	66	58	69	62	65	87	47	51	59	
15	4	5	5	13	10	19	6	14	9	11	12	19	14	13	10	7	
32	16	15	26	17	27	19	24	20	33	23	18	43	19	19	16	23	
34	32	49	46	52	38	62	45	44	49	55	54	54	67	41	43	46	
