"УИК №1788"	"УИК №1789"	"УИК №1790"	"УИК №1791"	"УИК №1792"	"УИК №1793"	"УИК №1794"	"УИК №1795"	"УИК №1796"	"УИК №1797"	"УИК №1798"	"УИК №1799"	"УИК №1800"	"УИК №1801"	"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	"УИК №1806"	"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	"УИК №1812"	"УИК №1813"	"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	"УИК №3722"	
2619	2069	1800	2186	2165	1889	2348	2569	2285	2100	2575	1910	1896	2350	801	2363	2589	2537	2307	1870	2195	2409	2553	2415	2545	2644	2494	2424	2736	2367	2336	1806	402	
2500	1900	1700	2200	2100	1800	2300	2500	2300	2100	2500	1900	1900	2400	800	2300	2600	2600	2200	1900	2200	2400	2500	2400	2500	2600	2500	2500	2700	2400	2300	1800	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1550	1259	1003	1418	1224	1105	1341	1590	1460	1249	1583	1109	1169	1358	500	1505	1570	1595	1347	1093	1322	1361	1757	1357	1531	1496	1466	1383	1552	1381	1311	1052	321	
94	34	52	39	43	45	55	50	49	37	54	40	43	6	19	29	44	22	38	47	52	44	40	35	42	27	53	35	23	39	57	32	53	
856	607	645	743	833	650	904	860	791	814	863	751	688	1036	281	766	986	983	815	760	826	995	703	1008	927	1077	981	1082	1125	980	932	716	226	
94	34	52	39	43	45	55	50	49	37	54	40	43	6	19	29	44	22	38	47	52	44	40	35	42	27	53	35	23	39	57	32	53	
1544	1259	1003	1417	1224	1105	1341	1589	1456	1249	1581	1109	1169	1358	500	1498	1570	1595	1347	1093	1322	1360	1757	1354	1525	1496	1466	1383	1552	1381	1311	1052	321	
17	17	8	12	16	14	24	21	20	7	21	16	20	25	8	16	17	24	27	10	10	9	6	15	22	14	25	1	19	16	17	13	3	
1621	1276	1047	1444	1251	1136	1372	1618	1485	1279	1614	1133	1192	1339	511	1511	1597	1593	1358	1130	1364	1395	1791	1374	1545	1509	1494	1417	1556	1404	1351	1071	371	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	13	8	14	8	7	13	17	17	8	18	11	7	13	4	14	13	9	11	11	13	15	10	4	14	18	10	11	13	10	17	9	2	
239	199	164	173	141	162	194	242	218	211	231	201	164	188	73	214	229	247	190	155	203	185	217	211	264	203	194	229	217	193	160	137	55	
62	60	61	47	55	48	62	76	65	42	73	50	55	54	22	63	54	82	64	49	56	65	73	73	63	73	59	54	80	55	60	45	21	
1176	918	746	1101	963	844	1002	1158	1060	924	1197	795	893	1026	392	1131	1169	1165	988	853	1008	1023	1380	1003	1068	1099	1136	1042	1149	1049	1020	799	270	
55	36	26	46	36	22	29	49	49	43	29	31	30	26	9	41	54	29	50	25	31	35	43	30	59	48	41	25	33	38	40	38	8	
19	5	9	5	7	4	11	14	8	9	12	10	7	8	2	12	9	11	13	7	10	6	14	12	11	12	10	10	23	7	15	9	5	
21	11	14	19	20	18	19	19	25	8	28	16	13	7	4	14	20	26	19	5	17	18	22	10	17	20	9	19	16	24	17	10	5	
42	34	19	39	21	31	42	43	43	34	26	19	23	17	5	22	49	24	23	25	26	48	32	31	49	36	35	27	25	28	22	24	5	
