"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	
2180	2005	2339	2311	2418	2305	2386	2089	2377	2378	2435	2380	2024	1923	2101	2325	1907	2154	2038	2252	1918	2026	2283	427	2241	2255	2244	2380	2162	2430	2227	1921	2042	2203	2361	2066	
1600	1600	1800	1800	1900	1800	1800	1500	1800	1900	1900	1700	1500	1500	1500	1800	1500	1700	1600	1600	1500	1600	1800	300	1700	1700	1700	1800	1700	1900	1700	1500	1500	1700	1800	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1323	1220	1410	1357	1404	1323	1419	1259	1500	1316	1419	1385	1174	1137	1275	1314	1107	1258	1108	1286	1024	1103	1363	249	1258	1306	1398	1441	1233	1437	1312	1104	1221	1271	1422	1168	
49	56	80	45	69	80	81	50	54	46	50	60	47	45	47	40	51	42	54	64	72	60	50	15	32	56	71	61	73	65	33	43	66	47	50	55	
228	324	310	398	427	397	300	191	246	538	431	255	279	318	178	446	342	400	438	250	404	437	387	36	410	338	231	298	394	398	355	353	213	382	328	277	
49	56	80	45	69	80	81	50	54	46	50	60	47	45	47	40	51	42	54	64	72	60	50	15	32	56	71	61	73	65	33	43	66	47	50	55	
1323	1218	1407	1357	1402	1322	1419	1259	1500	1316	1418	1385	1174	1137	1273	1308	1106	1258	1106	1286	1021	1103	1361	249	1257	1306	1398	1436	1229	1434	1312	1104	1221	1271	1422	1160	
14	19	23	26	16	13	12	20	15	12	31	21	13	22	16	20	19	21	10	17	20	12	19	5	19	26	22	12	11	19	18	15	24	15	6	10	
1358	1255	1464	1376	1455	1389	1488	1289	1539	1350	1437	1424	1208	1160	1304	1328	1138	1279	1150	1333	1073	1151	1392	259	1270	1336	1447	1485	1291	1480	1327	1132	1263	1303	1466	1205	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

18	11	15	14	12	20	8	9	24	15	15	25	8	12	15	11	4	12	10	20	9	15	9	1	12	14	23	17	7	17	9	13	13	17	6	8	
167	131	178	160	162	165	171	158	183	167	169	157	122	116	143	173	144	150	110	175	131	126	159	38	170	88	175	177	152	182	132	116	172	169	207	147	
80	60	62	52	70	71	65	53	69	58	78	69	72	53	79	76	45	77	77	68	66	81	84	20	69	45	73	68	63	65	50	64	52	54	34	47	
963	945	1075	1017	1106	1018	1121	951	1101	1012	1064	1041	906	896	960	978	870	944	859	968	784	852	1002	183	906	1099	1049	1071	964	1097	1060	857	923	946	1174	895	
53	40	47	43	52	40	46	47	57	46	40	59	50	38	44	39	33	33	36	39	34	35	55	9	33	40	44	72	40	40	33	37	34	52	9	35	
9	8	11	7	7	13	9	18	30	11	15	13	2	10	8	6	8	11	14	11	8	4	14	1	19	9	10	11	8	6	6	6	8	7	7	18	
26	12	26	27	14	31	17	13	17	8	16	26	21	17	12	16	10	21	14	22	15	15	22	2	20	10	20	20	19	27	13	15	17	18	8	17	
42	48	50	56	32	31	51	40	58	33	40	34	27	18	43	29	24	31	30	30	26	23	47	5	41	31	53	49	38	46	24	24	44	40	21	38	
