"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №3651"	
2502	2141	2263	2407	2738	1948	2196	1863	2715	2196	2729	2138	2198	2484	51	
1900	1700	1800	1900	2200	1600	1900	1400	2400	1700	1900	1600	1600	2000	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1468	1173	1302	1388	1462	1108	1312	1092	1574	1231	1580	1208	1291	1392	48	
53	73	77	45	41	34	47	60	70	73	66	51	66	61	0	
379	454	421	467	697	458	541	248	756	396	254	341	243	547	52	
53	73	77	45	41	31	47	60	70	73	66	51	66	61	0	
1467	1168	1300	1386	1461	1106	1311	1089	1568	1229	1577	1203	1288	1388	48	
18	36	16	22	93	15	10	8	41	38	22	19	29	17	3	
1502	1205	1361	1409	1409	1122	1348	1141	1597	1264	1621	1235	1325	1432	45	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

17	9	17	16	17	9	16	7	15	14	20	25	14	25	0	
215	150	211	207	216	143	174	195	241	185	191	153	201	200	8	
59	48	51	44	42	57	77	33	68	42	72	44	39	55	3	
954	805	863	903	907	782	892	735	1021	820	1049	781	851	932	27	
120	77	103	95	108	58	89	78	89	83	133	102	99	91	3	
10	14	8	9	7	8	13	10	11	10	12	6	11	9	0	
36	21	31	48	40	18	24	32	48	28	38	37	32	45	1	
91	81	77	87	72	47	63	51	104	82	106	87	78	75	3	
