"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	
2036	1841	1618	1192	2266	2162	2190	2320	1007	
1550	1500	1350	1000	1800	1850	1950	1800	1000	
0	0	0	0	0	0	0	0	0	
1234	1129	1113	817	1311	1337	1434	1501	747	
118	42	19	26	67	48	41	26	10	
198	329	218	157	422	465	475	273	243	
118	42	19	26	67	48	41	26	10	
1234	1129	1113	817	1311	1337	1393	1501	747	
13	19	8	10	14	20	15	9	7	
1339	1152	1124	833	1364	1365	1419	1518	750	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

7	7	4	6	12	7	6	4	3	
225	168	180	109	183	199	193	241	123	
85	71	66	43	78	77	67	71	31	
967	870	831	639	1044	1042	1099	1140	566	
25	16	17	17	20	17	22	34	13	
9	8	6	10	5	5	6	7	5	
9	6	6	3	9	10	5	5	5	
12	6	14	6	13	8	21	16	4	
