"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	
2566	2608	2583	1714	1267	1223	1363	2572	2486	1877	1049	2795	1760	1366	2672	1867	2729	1384	2788	2938	2843	1306	1128	1007	1390	2425	1826	1475	
2500	2400	2400	1700	1200	1200	1300	2500	2500	1800	1000	2700	1700	1300	2700	1800	2800	1300	2700	2900	2700	1200	1000	900	1300	2350	1700	1200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1597	1472	1725	1129	867	794	831	1637	1562	1176	622	1681	1014	833	1665	1156	1659	848	1763	1759	1740	833	677	603	826	1481	1088	975	
43	81	29	23	8	15	11	35	36	15	7	17	18	21	19	24	38	14	17	39	40	25	12	15	37	23	44	2	
860	847	646	548	325	391	458	828	902	609	371	1002	668	446	1016	620	1103	438	920	1102	920	342	311	282	437	846	568	223	
43	81	29	23	8	15	9	35	36	15	7	17	18	21	19	24	38	14	17	39	40	25	12	15	37	23	44	2	
1594	1459	1724	1126	866	794	825	1636	1562	1176	622	1681	1014	830	1657	1155	1659	848	1746	1759	1740	833	677	603	824	1479	1083	975	
20	24	17	14	9	7	9	18	15	9	8	30	15	7	24	10	18	12	21	19	24	16	15	5	14	19	12	20	
1617	1516	1736	1135	865	802	825	1653	1583	1182	621	1668	1017	844	1652	1169	1679	850	1742	1779	1756	842	674	613	847	1483	1115	957	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	18	20	16	8	8	10	18	9	12	11	16	9	6	24	11	21	2	13	17	23	6	7	10	10	17	13	12	
212	177	232	175	109	127	110	214	246	168	78	206	128	104	217	158	230	119	254	255	228	109	92	104	94	169	122	148	
88	100	98	69	59	39	36	122	81	47	30	115	67	50	101	51	77	38	67	66	94	48	49	30	50	77	56	42	
1209	1144	1298	810	640	581	610	1190	1130	872	465	1213	749	640	1209	845	1255	621	1258	1288	1233	611	463	414	612	1097	852	652	
25	36	39	22	14	18	19	42	50	30	14	53	23	20	52	49	31	35	57	56	67	23	20	25	32	53	31	41	
13	6	11	7	8	7	12	18	16	6	5	11	13	6	10	5	7	9	11	11	13	10	12	7	9	13	9	3	
21	12	25	16	15	12	16	24	22	23	9	16	14	7	19	17	21	17	32	30	31	13	7	4	19	21	14	26	
36	23	13	20	12	10	12	25	29	24	9	38	14	11	20	33	37	9	50	56	67	22	24	19	21	36	18	33	
